condition,posture_weight,flips,viol_reps,reps,margin,manip,tip_mm,approach_deg
h2o-keypoint,hard,2072,20,25,0.2249,0.1873,22.459,7.53
okami-gain1.0,0.04 / 0.08,1736,23,25,0.1695,0.1838,11.508,9.12
okami-gain0.1,0.004 / 0.008,575,15,25,0.3060,0.1816,3.216,14.93
okami-gain0.01,4e-4 / 8e-4,435,10,25,0.3385,0.1871,6.107,25.75
okami-gain0.001,4e-5 / 8e-5,435,10,25,0.3440,0.1885,6.175,27.48
b1-naive,hard,2256,20,25,0.2370,0.1888,16.386,3.96
b1-iros-reg,hard,2462,17,25,0.3600,0.1887,28.300,5.17
taskcentric,none,836,8,25,0.4388,0.1856,1.654,29.11
