condition,posture_weight,flips,viol_reps,reps,margin,manip,tip_mm,approach_deg
h2o-keypoint,hard,5773,21,25,0.2835,0.2047,22.360,6.49
okami-gain1.0,0.04 / 0.08,5508,23,25,0.2522,0.2038,10.860,4.90
okami-gain0.1,0.004 / 0.008,1671,23,25,0.2197,0.2019,7.913,25.40
okami-gain0.01,4e-4 / 8e-4,1045,14,25,0.3178,0.2029,11.891,34.57
okami-gain0.001,4e-5 / 8e-5,1033,13,25,0.3246,0.2043,10.818,36.52
b1-naive,hard,6208,21,25,0.3076,0.2083,21.596,3.37
b1-iros-reg,hard,4987,21,25,0.2309,0.2004,60.157,14.30
taskcentric,none,1261,12,25,0.3986,0.2057,6.768,43.23
