condition,posture_weight,flips,viol_reps,reps,margin,manip,tip_mm,approach_deg
h2o-keypoint,hard,1474,12,25,0.2662,0.1881,4.621,0.52
okami-gain1.0,0.04 / 0.08,1252,15,25,0.2202,0.1865,3.020,0.46
okami-gain0.1,0.004 / 0.008,211,14,25,0.2277,0.1884,1.611,6.02
okami-gain0.01,4e-4 / 8e-4,100,15,25,0.2276,0.1900,1.890,22.05
okami-gain0.001,4e-5 / 8e-5,98,15,25,0.2228,0.1880,1.879,24.19
b1-naive,hard,1667,13,25,0.2673,0.1876,5.708,0.49
b1-iros-reg,hard,1149,14,25,0.2614,0.1836,8.120,1.60
taskcentric,none,212,14,25,0.2654,0.1907,2.703,18.09
