t_s,q_pitch,q_roll,q_yaw,q_elbow
7.3833,-1.387716,0.380000,0.860610,0.619992
7.4000,-1.531272,0.380000,0.852682,0.583078
7.4167,-1.543742,0.380000,0.872332,0.570124
7.4333,-1.553060,0.380000,0.885172,0.570803
7.5333,-1.602868,0.006706,0.726448,0.509068
7.6333,-0.440746,-2.103376,0.622865,-0.468412
7.7000,-0.432056,-2.314128,0.959040,-0.173045
7.7333,-0.474680,-2.177543,0.854876,0.131457
7.7500,-0.520912,-2.036890,0.712803,0.305856
7.7667,-0.574332,-1.903375,0.554393,0.461779
7.7833,-0.602803,-1.824997,0.438834,0.579551
7.8000,-0.636922,-1.742101,0.298667,0.689856
7.8500,-0.380620,-2.007405,0.898884,0.829262
7.8667,-0.374021,-2.042134,1.195906,0.861301
7.8833,-0.367453,-2.057613,1.452244,0.909642
7.9333,-1.237333,-2.193211,2.085259,1.112834
7.9500,-1.555036,-2.266435,1.383203,1.278237
7.9667,-1.602357,-2.232646,0.302861,1.433800
7.9833,-1.537324,-2.252841,-0.068133,1.496608
8.0000,-1.535314,-2.267716,-0.166728,1.503396
8.0167,-1.533625,-2.279468,-0.194270,1.503464
8.0333,-1.532148,-2.278886,-0.203601,1.503499
8.0500,-1.533720,-2.274043,-0.205485,1.503511
8.0667,-1.535489,-2.264068,-0.206327,1.503518
8.0833,-1.534311,-2.250490,-0.201175,1.503484
8.1000,-1.533920,-2.235223,-0.199336,1.503469
8.1167,-1.534452,-2.219747,-0.199258,1.503461
8.1333,-1.534510,-2.203662,-0.197053,1.503438
8.1500,-1.534343,-2.188472,-0.193721,1.503406
8.1667,-1.534265,-2.181660,-0.188600,1.503372
8.1833,-1.536793,-2.180002,-0.193267,1.503398
8.2000,-1.544210,-2.181330,-0.201642,1.503504
8.2167,-1.547975,-2.184701,-0.200683,1.503457
8.2333,-1.545301,-2.189392,-0.210247,1.503680
8.2500,-1.540291,-2.191635,-0.213570,1.503540
8.2667,-1.535538,-2.189901,-0.215329,1.503615
8.2833,-1.533361,-2.176912,-0.201161,1.503443
8.3000,-1.526208,-2.147946,-0.207555,1.503456
8.4000,-1.265240,-1.168020,-0.139734,0.848606
8.4167,-1.260615,-1.073466,-0.086269,0.764314
8.4333,-1.228236,-1.045427,-0.047316,0.637138
8.4833,-1.249322,-0.835880,0.063286,0.457263
8.5833,-2.133000,0.123547,0.695684,-0.337302
8.6833,-1.765748,0.055985,0.824575,0.640393
8.7000,-1.765782,0.063146,0.780699,0.762237
8.7167,-1.756500,0.078111,0.756208,0.790967
8.7333,-1.761004,0.113918,0.732215,0.821988
8.7500,-1.748820,0.147201,0.724112,0.803980
8.7667,-1.726839,0.175288,0.718875,0.767692
8.7833,-1.707412,0.201795,0.718805,0.727952
8.8000,-1.691782,0.226639,0.723554,0.697687
8.8167,-1.669093,0.246468,0.732191,0.668623
8.8333,-1.654127,0.265139,0.740731,0.657571
8.8500,-1.644645,0.286854,0.750128,0.652058
8.8667,-1.641333,0.308184,0.757172,0.651516
8.8833,-1.641221,0.326796,0.761789,0.657064
8.9000,-1.642531,0.342725,0.764770,0.664535
8.9167,-1.639580,0.352395,0.767555,0.669078
8.9333,-1.634656,0.355060,0.769205,0.673375
8.9500,-1.630918,0.360803,0.771301,0.676124
8.9667,-1.634436,0.380000,0.776823,0.675456
8.9833,-1.638353,0.380000,0.801110,0.674156
9.0000,-1.635732,0.380000,0.808233,0.672455
9.0167,-1.629957,0.380000,0.803868,0.670929
9.0333,-1.640398,0.380000,0.820952,0.665913
9.0500,-1.636851,0.380000,0.808553,0.657968
9.0667,-1.633708,0.365845,0.800154,0.648887
9.0833,-1.633676,0.348372,0.790486,0.640963
9.1000,-1.633029,0.328402,0.781035,0.622654
9.1167,-1.635567,0.309692,0.772743,0.599233
9.1333,-1.632924,0.285525,0.766236,0.575197
9.1500,-1.613813,0.230746,0.756920,0.530080
9.1667,-1.583735,0.161650,0.749640,0.462798
9.2667,-1.509847,-0.928536,0.289441,-0.229184
9.3333,-1.116681,-1.499499,-0.081058,-0.270868
9.4000,-0.762750,-1.580634,-0.318100,0.247459
9.4500,-0.775467,-1.539906,-0.301182,0.590581
9.4667,-0.756083,-1.550123,-0.312212,0.666677
9.4833,-0.629098,-1.578492,-0.461499,0.720857
9.5000,-0.577012,-1.575601,-0.596396,0.791374
9.5500,-0.711863,-1.668337,-1.350625,1.076574
9.5667,-0.998161,-1.785523,-1.622437,1.233763
9.5833,-1.502576,-1.968873,-0.935361,1.440834
9.6000,-1.469471,-2.098859,-0.456191,1.497260
9.6167,-1.504487,-2.161689,-0.284652,1.504730
9.6333,-1.525058,-2.195257,-0.232963,1.504159
9.6500,-1.534936,-2.216222,-0.216720,1.503670
9.6667,-1.539483,-2.224741,-0.209434,1.503543
9.6833,-1.537742,-2.240307,-0.213628,1.503593
9.7000,-1.540633,-2.248275,-0.208177,1.503534
9.7167,-1.546207,-2.253290,-0.208361,1.503544
9.7333,-1.550467,-2.262840,-0.207753,1.503538
9.7500,-1.553003,-2.269808,-0.206402,1.503530
9.7667,-1.557698,-2.272639,-0.208066,1.503546
9.7833,-1.560890,-2.272383,-0.207780,1.503545
9.8000,-1.561762,-2.270073,-0.204955,1.503527
9.8167,-1.561570,-2.267830,-0.200259,1.503500
9.8333,-1.558099,-2.272576,-0.211658,1.503656
9.8500,-1.554505,-2.274143,-0.214054,1.503587
9.8667,-1.549877,-2.270636,-0.215826,1.503601
9.8833,-1.541644,-2.260030,-0.217745,1.503588
9.9000,-1.534476,-2.240364,-0.216655,1.503586
9.9167,-1.525200,-2.202692,-0.216575,1.503558
10.0167,-1.298813,-1.320567,-0.155885,0.957364
10.0333,-1.364705,-1.138645,-0.077737,0.951657
10.0667,-1.328381,-1.048470,-0.029786,0.704723
10.1667,-1.252331,-0.759158,0.117444,0.053129
10.2667,-1.867346,0.280128,0.731653,0.011399
10.3667,-1.658865,0.145287,0.801178,0.515063
10.4000,-1.647532,0.182115,0.799652,0.629549
10.4167,-1.628774,0.208680,0.806424,0.631753
10.4333,-1.609391,0.240286,0.818206,0.628935
10.4500,-1.586669,0.272436,0.829720,0.620197
10.4667,-1.573442,0.313251,0.839251,0.623587
10.4833,-1.567119,0.351479,0.846079,0.626879
10.5000,-1.568640,0.376682,0.848383,0.611741
10.5167,-1.576896,0.380000,0.848963,0.594000
10.5333,-1.574696,0.375398,0.843964,0.578938
10.5500,-1.571608,0.363333,0.838041,0.567599
10.5667,-1.568134,0.354509,0.834375,0.558810
10.5833,-1.566834,0.375642,0.839653,0.578178
10.6000,-1.608573,0.380000,0.915670,0.609636
10.6167,-1.654068,0.380000,0.992076,0.617627
10.6333,-1.671200,0.380000,1.012838,0.613348
10.6500,-1.680356,0.380000,1.007456,0.605198
10.6667,-1.661823,0.380000,0.966908,0.581911
10.7667,-1.816522,-0.094868,0.702264,0.674775
