t_s,q_pitch,q_roll,q_yaw,q_elbow
6.4000,-0.835882,-0.380000,-0.158959,1.491148
6.4167,-0.814091,-0.380000,-0.479851,1.338814
6.4333,-0.769697,-0.380000,-0.648200,1.295109
6.4500,-0.716688,-0.380000,-0.753057,1.261278
6.4667,-0.655897,-0.380000,-0.821101,1.238235
6.4833,-0.609280,-0.380000,-0.837332,1.236209
6.5000,-0.553095,-0.380000,-0.873813,1.223068
6.5167,-0.523579,-0.380000,-0.875038,1.228077
6.5333,-0.520803,-0.380000,-0.841955,1.244514
6.5500,-0.524154,-0.380000,-0.813795,1.255248
6.5667,-0.529652,-0.380000,-0.794093,1.262176
6.5833,-0.534728,-0.380000,-0.784570,1.265169
6.6000,-0.535374,-0.380000,-0.808768,1.256209
6.6167,-0.537542,-0.380000,-0.826205,1.250456
6.6333,-0.544084,-0.380000,-0.839703,1.246361
6.6500,-0.540945,-0.380000,-0.874129,1.232597
6.6667,-0.544357,-0.380000,-0.889812,1.227867
6.6833,-0.545303,-0.380000,-0.894717,1.225608
6.7000,-0.545105,-0.380000,-0.888474,1.227714
6.7167,-0.542635,-0.380000,-0.878571,1.231011
6.7333,-0.538271,-0.380000,-0.877728,1.231114
6.7500,-0.535871,-0.380000,-0.884241,1.229143
6.7667,-0.530832,-0.380000,-0.906075,1.220812
6.7833,-0.521736,-0.380000,-0.919055,1.212861
6.8000,-0.500716,-0.380000,-0.914870,1.204029
6.8167,-0.478470,-0.380000,-0.886948,1.205530
6.8333,-0.450517,-0.380000,-0.838544,1.206863
6.8500,-0.410903,-0.380000,-0.768974,1.199949
6.8667,-0.346619,-0.380000,-0.679543,1.164069
6.8833,-0.280987,-0.365769,-0.656021,1.118874
6.9000,-0.201096,-0.323800,-0.664066,1.037890
6.9167,-0.138875,-0.295530,-0.683830,0.993401
6.9333,-0.080081,-0.270619,-0.711919,0.942427
6.9500,-0.028529,-0.236116,-0.742460,0.887639
6.9667,0.012001,-0.203770,-0.767295,0.861550
6.9833,0.047445,-0.163994,-0.785491,0.842403
7.0000,0.069470,-0.128974,-0.797163,0.834247
7.0167,0.094475,-0.086607,-0.809098,0.811648
7.0333,0.118655,-0.035468,-0.818595,0.780128
7.0500,0.136702,0.005774,-0.829417,0.746658
7.0667,0.150951,0.042701,-0.838779,0.709833
7.0833,0.160940,0.076096,-0.848545,0.677475
7.1000,0.165895,0.101269,-0.856416,0.654226
7.1167,0.166396,0.121430,-0.863981,0.637925
7.1333,0.165401,0.136908,-0.869348,0.626164
7.1500,0.164445,0.149564,-0.875108,0.615785
7.1667,0.163933,0.156320,-0.882239,0.607951
