t_s,q_pitch,q_roll,q_yaw,q_elbow
6.9500,0.539613,-0.605031,0.035161,1.339846
6.9667,0.477831,-0.595587,-0.081773,1.505033
6.9833,0.474706,-0.590131,-0.124168,1.504744
7.0833,0.364209,-0.215782,-0.003143,0.907708
7.1000,0.369165,-0.184945,0.090220,0.748744
7.1167,0.362317,-0.169817,0.170946,0.664320
7.1333,0.354215,-0.170555,0.227088,0.616172
7.1500,0.351036,-0.182081,0.280213,0.584605
7.1667,0.350880,-0.205044,0.316210,0.573807
7.1833,0.357433,-0.230443,0.328678,0.574935
7.2000,0.361971,-0.270769,0.362660,0.600955
7.2833,0.281474,-0.384343,0.345493,1.082911
7.3667,0.167659,-0.457422,0.290130,1.219866
7.3833,0.225094,-0.508176,0.297873,1.003500
7.4000,0.211538,-0.527704,0.309895,0.945511
7.4167,0.195454,-0.545863,0.325175,0.873014
7.4333,0.168449,-0.555272,0.339636,0.819541
7.4500,0.137816,-0.560118,0.353598,0.778290
7.4667,0.116022,-0.566423,0.369034,0.741150
7.4833,0.093277,-0.564238,0.384552,0.702104
7.5000,0.064448,-0.561035,0.396589,0.674742
7.5167,0.026703,-0.549785,0.406457,0.658193
7.5333,-0.017861,-0.533716,0.424658,0.652031
7.5500,-0.047096,-0.527925,0.433345,0.645398
7.5667,-0.076576,-0.512481,0.451845,0.654514
7.5833,-0.098716,-0.496328,0.469968,0.668483
7.6000,-0.115706,-0.480926,0.486776,0.685465
7.6167,-0.126725,-0.469688,0.501316,0.702362
7.6333,-0.136165,-0.459726,0.513923,0.718862
7.6500,-0.132219,-0.459692,0.518639,0.722123
7.6667,-0.129318,-0.468790,0.520258,0.724759
7.6833,-0.126483,-0.481067,0.522386,0.724256
7.7000,-0.125256,-0.494810,0.523453,0.721741
7.7167,-0.120287,-0.511701,0.527179,0.707416
7.7333,-0.119782,-0.529478,0.528040,0.698148
7.7500,-0.124677,-0.543605,0.530701,0.674937
7.7667,-0.143860,-0.555401,0.529952,0.659612
7.7833,-0.173022,-0.575267,0.523133,0.641898
7.8000,-0.224766,-0.596590,0.511696,0.606437
7.8167,-0.227595,-0.665036,0.501405,0.487174
7.8333,-0.210007,-0.734776,0.491953,0.388827
7.8500,-0.211499,-0.772177,0.490010,0.335518
7.8667,-0.235701,-0.777378,0.489957,0.308554
7.8833,-0.251957,-0.784081,0.491153,0.288748
7.9000,-0.291944,-0.770984,0.496922,0.307480
7.9167,-0.342988,-0.743857,0.507211,0.332924
7.9333,-0.385449,-0.717060,0.516324,0.350979
7.9500,-0.422977,-0.682136,0.529585,0.363295
7.9667,-0.415460,-0.701216,0.531804,0.342479
7.9833,-0.413551,-0.713217,0.535137,0.326553
