t_s,q_pitch,q_roll,q_yaw,q_elbow
9.9000,-0.099761,-0.672723,0.456579,0.295662
9.9167,-0.135398,-0.681466,0.466883,0.216900
9.9333,-0.174157,-0.677896,0.482690,0.151526
9.9500,-0.215201,-0.662772,0.497452,0.108689
9.9667,-0.269707,-0.637065,0.513713,0.096625
9.9833,-0.309948,-0.627801,0.525158,0.093293
10.0000,-0.340750,-0.625621,0.534823,0.096421
10.0167,-0.335769,-0.653697,0.539127,0.076993
10.0333,-0.320921,-0.684981,0.543755,0.066606
10.0500,-0.294642,-0.726974,0.545503,0.052272
10.0667,-0.250020,-0.787210,0.542898,0.041270
10.0833,-0.218444,-0.828227,0.544245,0.037089
10.1000,-0.184820,-0.867934,0.546008,0.027505
10.1167,-0.156270,-0.902477,0.547839,0.018450
10.1333,-0.119296,-0.943554,0.548904,0.006980
10.1667,-0.004124,-1.052388,0.545606,0.009941
10.2000,0.103461,-1.119405,0.560446,0.009910
10.2167,0.133881,-1.130084,0.572793,0.054422
10.2333,0.105173,-1.099672,0.578097,0.101835
10.2500,0.048697,-1.052024,0.579981,0.168151
10.2833,-0.091646,-0.899237,0.592995,0.365947
10.3500,-0.401594,-0.540555,0.444682,1.237888
10.3667,-0.429922,-0.500375,0.320194,1.280622
10.3833,-0.497336,-0.443880,0.067939,1.437450
10.4000,-0.527042,-0.429163,-0.057817,1.496720
10.4167,-0.525307,-0.444457,-0.109204,1.504292
10.4333,-0.540617,-0.442308,-0.122365,1.504563
10.4833,-0.584729,-0.426199,-0.123774,1.504567
10.5000,-0.569477,-0.441815,-0.130498,1.501732
10.5167,-0.530326,-0.468976,-0.134760,1.504895
10.5833,-0.650731,-0.421770,-0.229657,2.035962
10.6833,-0.264129,-0.528337,-0.264455,1.990526
10.7000,-0.109228,-0.508630,-0.298874,1.751749
10.8000,-0.379796,-0.185606,-0.398290,2.230109
10.8167,-0.455815,-0.175237,-0.463249,2.426021
10.8333,-0.493793,-0.170482,-0.522313,2.538967
10.8500,-0.519114,-0.178093,-0.568611,2.632815
10.8667,-0.533349,-0.200740,-0.606764,2.709358
10.8833,-0.544300,-0.223146,-0.634285,2.769248
10.9000,-0.556742,-0.247142,-0.660733,2.838256
10.9167,-0.564333,-0.270161,-0.684827,2.892171
10.9333,-0.567886,-0.290042,-0.707077,2.931838
10.9500,-0.562390,-0.310409,-0.716593,2.943800
10.9667,-0.559839,-0.328265,-0.726765,2.950174
10.9833,-0.550854,-0.342662,-0.728752,2.943937
11.0000,-0.533695,-0.361023,-0.730304,2.930952
11.0167,-0.515352,-0.379040,-0.730076,2.917628
11.0333,-0.503062,-0.387559,-0.734865,2.904392
