t_s,q_pitch,q_roll,q_yaw,q_elbow
3.5000,-0.080887,-0.170238,0.048108,1.453576
3.5333,-0.117165,-0.139691,-0.054572,1.498533
3.5667,-0.124943,-0.132646,-0.099611,1.504422
3.6000,-0.126536,-0.136900,-0.109875,1.504584
3.6333,-0.121896,-0.126839,-0.119048,1.504672
3.6667,-0.109123,-0.109995,-0.121727,1.505360
3.7000,-0.112080,-0.114202,-0.118567,1.504563
3.7333,-0.119650,-0.118889,-0.118772,1.504508
3.7667,-0.128126,-0.123989,-0.119052,1.504363
3.8000,-0.137771,-0.133553,-0.118929,1.503803
3.8333,-0.152951,-0.143822,-0.117061,1.501659
3.8667,-0.152932,-0.163011,-0.104617,1.473858
3.9000,-0.097359,-0.180804,0.020034,1.290728
3.9333,-0.111837,-0.224852,0.048357,1.266701
3.9667,-0.182366,-0.238923,-0.000237,1.450639
4.0000,-0.206324,-0.264006,-0.067202,1.489404
4.0333,-0.210683,-0.278686,-0.101023,1.496843
4.0667,-0.203144,-0.274175,-0.116006,1.501009
4.1000,-0.192046,-0.263653,-0.124299,1.505380
4.1333,-0.186056,-0.257831,-0.127283,1.505973
4.1667,-0.184258,-0.254103,-0.127461,1.505242
4.2000,-0.160776,-0.220264,-0.131962,1.510993
4.2333,-0.159357,-0.210116,-0.131866,1.510573
4.2667,-0.166383,-0.209092,-0.133301,1.516464
4.3000,-0.225309,-0.206754,-0.187509,1.653515
4.3333,-0.287590,-0.219708,-0.272396,1.786869
4.3667,-0.334542,-0.232200,-0.324497,1.870378
4.4000,-0.353661,-0.227946,-0.363008,1.918819
4.4333,-0.352703,-0.218342,-0.386892,1.899393
4.4667,-0.355952,-0.207508,-0.401737,1.891697
4.5000,-0.353924,-0.194892,-0.416773,1.881551
4.5333,-0.356826,-0.185987,-0.432237,1.903239
4.5667,-0.366962,-0.183337,-0.453540,1.952363
4.6000,-0.372777,-0.176516,-0.469760,1.972543
4.6333,-0.349861,-0.148597,-0.487636,1.932591
4.6667,-0.352277,-0.137428,-0.495786,1.924229
4.7000,-0.362088,-0.130136,-0.505781,1.944731
4.7333,-0.365786,-0.118451,-0.515346,1.961143
4.7667,-0.361799,-0.099855,-0.525181,1.947085
4.8000,-0.386880,-0.095539,-0.531570,1.932153
4.8333,-0.415896,-0.091127,-0.541181,1.956794
4.8667,-0.416370,-0.073854,-0.549200,1.970481
4.9000,-0.448413,-0.072549,-0.563717,2.006655
4.9333,-0.456443,-0.059761,-0.574769,2.020178
4.9667,-0.461505,-0.054298,-0.579591,2.017066
5.0000,-0.488683,-0.055839,-0.596509,2.067091
5.0333,-0.498271,-0.059039,-0.615938,2.145747
5.0667,-0.572705,-0.066139,-0.644452,2.186742
5.1000,-0.592336,-0.079846,-0.661368,2.212112
5.1333,-0.599675,-0.065580,-0.677719,2.226334
5.1667,-0.581689,-0.071034,-0.677776,2.232557
5.2000,-0.613698,-0.073447,-0.691912,2.232882
5.2333,-0.588851,-0.092713,-0.694557,2.201620
5.2667,-0.604032,-0.112445,-0.696785,2.190006
5.3000,-0.642918,-0.132834,-0.710778,2.245452
5.3333,-0.645398,-0.177146,-0.713869,2.312081
5.3667,-0.631497,-0.178938,-0.720526,2.339085
5.4000,-0.649060,-0.195233,-0.733895,2.399282
5.4333,-0.653469,-0.217171,-0.744103,2.452763
5.4667,-0.656341,-0.231391,-0.750633,2.467461
5.5000,-0.624876,-0.234983,-0.750441,2.456898
5.5333,-0.621446,-0.244662,-0.755813,2.429779
5.5667,-0.617547,-0.288181,-0.751129,2.473414
5.6000,-0.622620,-0.325454,-0.748036,2.484516
5.6333,-0.665353,-0.342003,-0.762451,2.532287
5.6667,-0.680867,-0.376694,-0.764705,2.570397
5.7000,-0.705133,-0.371809,-0.777843,2.562001
5.7333,-0.701802,-0.402886,-0.773082,2.525205
5.7667,-0.712528,-0.437177,-0.768523,2.526862
5.8000,-0.763514,-0.480397,-0.774197,2.593087
5.8333,-0.783011,-0.497966,-0.777979,2.600196
5.8667,-0.807820,-0.535827,-0.778018,2.643490
5.9000,-0.839281,-0.543451,-0.788932,2.678948
5.9333,-0.894972,-0.573550,-0.802894,2.756951
5.9667,-0.899344,-0.587902,-0.803139,2.763138
6.0000,-0.909658,-0.601954,-0.805226,2.769760
6.0333,-0.922440,-0.606602,-0.810080,2.769326
6.0667,-0.933128,-0.613543,-0.813316,2.762801
6.1000,-0.934679,-0.605036,-0.818831,2.755180
6.1333,-0.947830,-0.589068,-0.830847,2.778522
6.1667,-0.966344,-0.595499,-0.839149,2.806377
6.2000,-0.974784,-0.607456,-0.841142,2.814396
6.2333,-0.985789,-0.619433,-0.843905,2.826467
6.2667,-0.997039,-0.623935,-0.849144,2.841916
6.3000,-1.006363,-0.622405,-0.855751,2.858193
6.3333,-1.020758,-0.618300,-0.865415,2.879497
6.3667,-1.039062,-0.613534,-0.878504,2.918112
6.4000,-1.066268,-0.629592,-0.889267,2.979290
6.4333,-1.062341,-0.623796,-0.892093,2.984358
6.4667,-1.052895,-0.619984,-0.893118,2.975329
6.5000,-1.045154,-0.616168,-0.894600,2.969198
6.5333,-1.032112,-0.611626,-0.893753,2.950441
6.5667,-1.018671,-0.611870,-0.890750,2.930928
6.6000,-1.001228,-0.606251,-0.888274,2.904382
6.6333,-0.993062,-0.599698,-0.888948,2.897274
6.6667,-0.983519,-0.593470,-0.888844,2.889178
6.7000,-0.977020,-0.588865,-0.888805,2.885860
6.7333,-0.972136,-0.586400,-0.888711,2.885060
6.7667,-0.962295,-0.586354,-0.886277,2.874061
6.8000,-0.955859,-0.586174,-0.884646,2.868496
6.8333,-0.949444,-0.593955,-0.880387,2.861335
6.8667,-0.945218,-0.599720,-0.877486,2.858312
6.9000,-0.939353,-0.602449,-0.874811,2.853120
6.9333,-0.936531,-0.602622,-0.873856,2.853479
6.9667,-0.931467,-0.602822,-0.872228,2.851252
7.0000,-0.925068,-0.603811,-0.869797,2.845483
7.0333,-0.922077,-0.605077,-0.868391,2.844965
7.0667,-0.920349,-0.607621,-0.867197,2.846784
7.1000,-0.918039,-0.609114,-0.865965,2.847225
7.1333,-0.916423,-0.610649,-0.864982,2.848458
7.1667,-0.916455,-0.612703,-0.864602,2.852773
7.2000,-0.915238,-0.613865,-0.863898,2.853998
7.2333,-0.916814,-0.615701,-0.864206,2.859408
