capture       ext%  fid_v%  task_v%  tdef_v%  fid_marg  task_marg  tdef_marg  tdef_mm
RS_d1_1       99.3     0.0      0.0      0.0     0.354      0.412      0.345      0.1
RS_d1_2       88.2     0.0      0.0      0.0     0.315      0.453      0.454      0.1
RS_d1_3       87.5     0.0      0.0      0.0     0.355      0.427      0.405      0.1
RS_d1_4       92.3     0.0      0.0      0.0     0.329      0.431      0.399      0.1
RS_d1_5       86.0     0.0      0.0      0.0     0.327      0.408      0.401      0.1
RS_d2_1       91.2     0.0      0.0      0.0     0.377      0.455      0.435      0.1
RS_d2_2       94.5     0.0      0.0      0.0     0.343      0.382      0.369      0.1
RS_d2_3       95.5     0.0      0.0      0.0     0.337      0.377      0.352      0.1
RS_d2_4       98.3    15.7      0.0      0.0     0.215      0.393      0.357      0.1
RS_d2_5       94.0     0.0      0.0      0.0     0.388      0.420      0.378      0.1
RS_d3_1       99.7     5.9      9.0      0.0     0.280      0.285      0.401      0.1
RS_d3_2       99.7     7.1      8.2      0.0     0.270      0.329      0.407      0.1
RS_d3_3       93.6     0.0      0.2      0.0     0.390      0.456      0.451      0.1
RS_d3_4       99.5     0.0     13.6      0.0     0.354      0.210      0.398      0.1
RS_d3_5       95.4     2.8      5.1      0.0     0.338      0.334      0.451      0.1
RS_d4_1      100.2     5.1      4.5      0.0     0.239      0.214      0.384      0.1
RS_d4_2      100.0     1.0      8.0      0.0     0.303      0.242      0.389      0.1
RS_d4_3       99.9     0.7      2.3      0.0     0.299      0.254      0.415      0.1
RS_d4_4       99.7     3.3      7.1      0.0     0.269      0.249      0.400      0.1
RS_d4_5       99.8     1.4      1.1      0.0     0.283      0.270      0.428      0.1

BY TARGET DISTANCE   (reps violating out of n)
level    n  human_m   ext%   fidelity  taskcentric  taskdefined  fid_marg  tdef_marg
d1       5    0.508   90.7       0/5          0/5          0/5      0.336      0.401
d2       5    0.530   94.7       1/5          0/5          0/5      0.332      0.378
d3       5    0.547   97.6       3/5          5/5          0/5      0.326      0.422
d4       5    0.558   99.9       5/5          5/5          0/5      0.279      0.403

wrote results/reach_extent/v4_right.json
