capture       ext%  fid_v%  task_v%  tdef_v%  fid_marg  task_marg  tdef_marg  tdef_mm
RS_d1_1       88.9     0.0      0.0      0.0     0.335      0.393      0.438      0.1
RS_d1_2       88.9     0.0      0.0      0.0     0.358      0.402      0.451      0.1
RS_d1_3       90.5     0.0      0.0      0.0     0.429      0.427      0.488      0.1
RS_d1_4       92.5     0.0      0.0      0.0     0.323      0.376      0.463      0.1
RS_d1_5       93.3     0.0      0.0      0.0     0.336      0.384      0.466      0.1
RS_d2_1       95.7     0.0      0.0      0.0     0.359      0.363      0.475      0.1
RS_d2_2       95.4     0.0      0.0      0.0     0.346      0.338      0.468      0.1
RS_d2_3       95.6     1.8     50.9     50.9     0.366      0.162      0.220    253.4
RS_d2_4       96.1     0.0      0.0      0.0     0.293      0.339      0.470      0.1
RS_d2_5       90.8     0.0      0.0      0.0     0.340      0.393      0.461      0.1
RS_d3_1       95.3     0.0      0.0      0.0     0.351      0.320      0.449      0.1
RS_d3_2       94.1     0.0      0.0      0.0     0.366      0.363      0.466      0.1
RS_d3_3       95.5     0.0      0.0      0.0     0.344      0.363      0.474      0.1
RS_d3_4       89.4     0.0      0.0      0.0     0.408      0.414      0.469      0.1
RS_d3_5       94.7     0.0      0.0      0.0     0.368      0.357      0.465      0.1
RS_d4_1       94.5     0.0      0.0      0.0     0.353      0.374      0.448      0.1
RS_d4_2       89.9     0.0      0.0      0.0     0.405      0.414      0.473      0.1
RS_d4_3       88.4     0.0      0.0      0.0     0.363      0.418      0.458      0.1
RS_d4_4       89.3     0.0      0.0      0.0     0.351      0.417      0.462      0.1
RS_d4_5       93.1     0.0      0.0      0.0     0.367      0.384      0.466      0.1

BY TARGET DISTANCE   (reps violating out of n)
level    n  human_m   ext%   fidelity  taskcentric  taskdefined  fid_marg  tdef_marg
d1       5    0.507   90.8       0/5          0/5          0/5      0.356      0.461
d2       5    0.530   94.7       1/5          1/5          1/5      0.341      0.419
d3       5    0.525   93.8       0/5          0/5          0/5      0.367      0.464
d4       5    0.508   91.0       0/5          0/5          0/5      0.368      0.461

wrote results/reach_extent/v4_left.json
