t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
6.4500,0.1414,0.0550,0.1812,0.1708,0,0
6.4667,0.1474,0.0755,0.1844,0.1738,0,0
6.4833,0.1576,0.1131,0.1915,0.1856,0,0
6.5000,0.1722,0.1474,0.2032,0.2004,0,0
6.5167,0.1760,0.1767,0.2129,0.2139,0,0
6.5333,0.1771,0.2049,0.2210,0.2256,0,0
6.5500,0.1859,0.2379,0.2296,0.2368,0,0
6.6000,0.1815,0.2026,0.2261,0.2264,0,0
6.6500,0.0816,0.0901,0.0881,0.0318,0,0
6.6667,0.0568,0.0814,0.0207,0.0510,0,0
6.6833,0.0530,0.0577,0.0012,0.0051,0,0
6.7000,0.0593,0.0561,0.0015,0.0005,0,0
6.7167,0.0619,0.0541,0.0026,0.0000,0,0
6.7333,0.0697,0.0591,0.0039,0.0001,0,0
6.7500,0.0872,0.0747,0.0055,0.0000,0,0
6.7667,0.1075,0.0934,0.0088,0.0000,0,0
6.7833,0.1287,0.1134,0.0131,0.0000,0,0
6.8000,0.1423,0.1327,0.0017,0.0000,0,0
6.8167,0.1494,0.1414,0.0010,0.0000,0,0
6.8333,0.1513,0.1494,0.0026,0.0002,0,0
6.8500,0.1892,0.1631,0.0662,0.0457,0,0
6.8667,0.2259,0.1865,0.1048,0.1202,0,0
6.8833,0.2523,0.2033,0.1327,0.1548,0,0
6.9000,0.2697,0.2152,0.1513,0.1724,0,0
6.9167,0.2852,0.2257,0.1679,0.1859,0,0
6.9333,0.2925,0.2312,0.1749,0.1913,0,0
6.9500,0.2975,0.2366,0.1786,0.1938,0,0
6.9667,0.3155,0.2512,0.1927,0.2044,0,0
6.9833,0.3329,0.2659,0.2061,0.2150,0,0
7.0000,0.3448,0.2771,0.2147,0.2217,0,0
7.0167,0.3489,0.2787,0.2224,0.2263,0,0
7.0333,0.3454,0.2734,0.2268,0.2287,0,0
7.0500,0.3322,0.2623,0.2243,0.2260,0,0
7.1500,0.1185,0.1951,0.1129,0.1910,0,0
7.1667,0.1107,0.1896,0.1369,0.1829,0,0
7.1833,0.1194,0.1929,0.1658,0.2023,0,0
7.2000,0.1493,0.2038,0.1843,0.2141,0,0
7.2333,0.2645,0.2539,0.2202,0.2354,0,0
7.2500,0.3077,0.2818,0.2360,0.2453,0,0
7.2667,0.3458,0.2873,0.2482,0.2525,0,0
7.2833,0.3704,0.2668,0.2559,0.2570,0,0
7.3000,0.3793,0.2589,0.2586,0.2585,0,0
7.3167,0.3822,0.2548,0.2594,0.2589,0,0
7.3333,0.3820,0.2600,0.2589,0.2580,0,0
7.3500,0.3801,0.2684,0.2575,0.2569,0,0
7.3667,0.3793,0.2766,0.2561,0.2563,0,0
7.3833,0.3811,0.2821,0.2551,0.2566,0,0
7.4000,0.3813,0.2862,0.2540,0.2568,0,0
7.4167,0.3840,0.2867,0.2541,0.2576,0,0
7.4333,0.3855,0.2855,0.2542,0.2584,0,0
7.4500,0.3858,0.2849,0.2542,0.2588,0,0
7.4667,0.3836,0.2857,0.2536,0.2588,0,0
7.4833,0.3816,0.2863,0.2532,0.2588,0,0
7.5000,0.3795,0.2860,0.2529,0.2588,0,0
7.5167,0.3766,0.2845,0.2527,0.2590,0,0
7.5333,0.3730,0.2839,0.2523,0.2590,0,0
7.5500,0.3693,0.2835,0.2518,0.2588,0,0
7.5667,0.3685,0.2833,0.2517,0.2587,0,0
7.5833,0.3688,0.2834,0.2518,0.2587,0,0
7.6000,0.3693,0.2834,0.2519,0.2587,0,0
7.6167,0.3641,0.2860,0.2507,0.2581,0,0
7.6333,0.3567,0.2906,0.2488,0.2569,0,0
7.6500,0.3491,0.2943,0.2470,0.2558,0,0
7.6667,0.3342,0.2997,0.2442,0.2533,0,0
7.6833,0.3118,0.3054,0.2382,0.2485,0,0
7.7000,0.2862,0.2827,0.2315,0.2426,0,0
7.7167,0.2444,0.2460,0.2202,0.2323,0,0
7.7333,0.2030,0.2104,0.2085,0.2213,0,0
7.7500,0.1593,0.1674,0.1923,0.2055,0,0
7.8000,0.0184,0.0376,0.1013,0.1086,0,0
7.8500,0.0230,0.0607,0.1012,0.1056,0,0
7.8667,0.0341,0.0754,0.1034,0.1200,0,0
7.8833,0.0437,0.0820,0.1056,0.1260,0,0
7.9000,0.0520,0.0865,0.1093,0.1309,0,0
7.9167,0.0633,0.0957,0.1156,0.1376,0,0
7.9333,0.0793,0.1100,0.1270,0.1487,0,0
7.9500,0.0921,0.1248,0.1374,0.1594,0,0
7.9667,0.0968,0.1262,0.1448,0.1664,0,0
7.9833,0.1059,0.1334,0.1529,0.1732,0,0
8.0000,0.1147,0.1431,0.1610,0.1809,0,0
8.0167,0.1226,0.1527,0.1678,0.1875,0,0
8.0333,0.1275,0.1603,0.1721,0.1920,0,0
8.0500,0.1311,0.1686,0.1755,0.1959,0,0
8.0667,0.1331,0.1751,0.1796,0.2002,0,0
8.0833,0.1345,0.1773,0.1813,0.2020,0,0
8.1000,0.1343,0.1796,0.1829,0.2037,0,0
8.1167,0.1330,0.1813,0.1833,0.2045,0,0
8.1333,0.1291,0.1787,0.1829,0.2044,0,0
8.1500,0.1258,0.1754,0.1834,0.2046,0,0
8.1667,0.1195,0.1752,0.1875,0.2084,0,0
8.1833,0.1110,0.1742,0.1918,0.2124,0,0
8.2000,0.1049,0.1734,0.1963,0.2161,0,0
8.2167,0.1030,0.1763,0.2014,0.2204,0,0
8.2333,0.1183,0.1805,0.2105,0.2255,0,0
8.2500,0.1412,0.1820,0.2186,0.2273,0,0
8.2833,0.1855,0.1121,0.2303,0.2308,0,0
8.3667,0.3044,0.0000,0.2216,0.2175,0,1
8.4167,0.2829,0.0000,0.2072,0.2233,0,1
8.4333,0.2748,0.0000,0.2045,0.2253,0,1
8.4500,0.2739,0.0000,0.2052,0.2277,0,1
8.4833,0.2781,0.0000,0.2186,0.2323,0,1
8.5000,0.2747,0.0000,0.2285,0.2316,0,1
8.5167,0.2719,0.0335,0.2364,0.2406,0,0
8.5333,0.2614,0.0877,0.2423,0.2484,0,0
8.5500,0.2458,0.1419,0.2430,0.2498,0,0
8.5667,0.2361,0.1769,0.2412,0.2473,0,0
8.6000,0.2269,0.2379,0.2377,0.2463,0,0
8.6333,0.1837,0.2315,0.2051,0.2200,0,0
8.6667,0.0997,0.1335,0.1025,0.1211,0,0
8.6833,0.0656,0.0859,0.0457,0.0592,0,0
8.7000,0.0593,0.0573,0.0016,0.0068,0,0
8.7167,0.0690,0.0672,0.0013,0.0005,0,0
8.7333,0.0711,0.0706,0.0010,0.0000,0,0
8.7500,0.0819,0.0773,0.0393,0.0055,0,0
8.7667,0.1027,0.0965,0.0669,0.0781,0,0
8.7833,0.1108,0.1075,0.0741,0.1040,0,0
8.8000,0.1195,0.1152,0.0829,0.1148,0,0
8.8167,0.1265,0.1212,0.0887,0.1201,0,0
8.8333,0.1293,0.1229,0.0896,0.1208,0,0
8.8500,0.1193,0.1186,0.0788,0.1121,0,0
8.8667,0.1097,0.1143,0.0658,0.0996,0,0
8.9000,0.1149,0.1235,0.0679,0.1002,0,0
8.9167,0.1130,0.1274,0.0658,0.1004,0,0
8.9333,0.1178,0.1298,0.0734,0.1046,0,0
8.9500,0.1145,0.1275,0.0688,0.1019,0,0
8.9667,0.1112,0.1259,0.0670,0.1005,0,0
