t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
7.4167,0.5898,0.5401,0.2339,0.2306,0,0
7.4333,0.5894,0.5497,0.2341,0.2336,0,0
7.4500,0.5874,0.5522,0.2349,0.2345,0,0
7.4667,0.5818,0.5551,0.2363,0.2361,0,0
7.4833,0.5739,0.5606,0.2362,0.2365,0,0
7.5167,0.5385,0.5375,0.2281,0.2306,0,0
7.5333,0.5102,0.5115,0.2238,0.2260,0,0
7.5500,0.4877,0.4895,0.2240,0.2259,0,0
7.5667,0.4641,0.4668,0.2299,0.2315,0,0
7.5833,0.4519,0.4570,0.2360,0.2367,0,0
7.6000,0.4480,0.4557,0.2413,0.2417,0,0
7.6167,0.4478,0.4580,0.2448,0.2453,0,0
7.6333,0.4449,0.4569,0.2469,0.2477,0,0
7.6500,0.4429,0.4572,0.2490,0.2502,0,0
7.6667,0.4438,0.4605,0.2513,0.2530,0,0
7.6833,0.4446,0.4625,0.2521,0.2542,0,0
7.7000,0.4456,0.4650,0.2522,0.2548,0,0
7.7167,0.4430,0.4637,0.2511,0.2543,0,0
7.7333,0.4412,0.4633,0.2497,0.2534,0,0
7.7500,0.4404,0.4633,0.2477,0.2521,0,0
7.7667,0.4403,0.4639,0.2451,0.2500,0,0
7.7833,0.4355,0.4641,0.2430,0.2483,0,0
7.8000,0.4227,0.4662,0.2428,0.2480,0,0
7.8167,0.3901,0.4734,0.2414,0.2460,0,0
7.8333,0.3506,0.4797,0.2383,0.2418,0,0
7.8500,0.3346,0.4786,0.2377,0.2412,0,0
7.8667,0.3341,0.4768,0.2367,0.2404,0,0
7.8833,0.3353,0.4749,0.2340,0.2385,0,0
7.9000,0.3375,0.4733,0.2310,0.2362,0,0
7.9167,0.3428,0.4746,0.2285,0.2344,0,0
7.9333,0.3487,0.4760,0.2283,0.2347,0,0
7.9500,0.3535,0.4776,0.2296,0.2363,0,0
7.9667,0.3584,0.4809,0.2302,0.2372,0,0
7.9833,0.3595,0.4826,0.2304,0.2378,0,0
8.0000,0.3595,0.4854,0.2312,0.2386,0,0
8.0167,0.3597,0.4879,0.2323,0.2399,0,0
8.0500,0.3501,0.4879,0.2342,0.2414,0,0
8.0667,0.3499,0.4878,0.2350,0.2421,0,0
8.1000,0.3351,0.4882,0.2349,0.2414,0,0
8.1167,0.3289,0.4887,0.2360,0.2421,0,0
8.1333,0.3233,0.4906,0.2371,0.2429,0,0
8.1500,0.3260,0.4916,0.2351,0.2417,0,0
8.1667,0.3254,0.4931,0.2300,0.2371,0,0
8.1833,0.3169,0.4963,0.2231,0.2303,0,0
8.2000,0.3022,0.5004,0.2145,0.2212,0,0
8.2167,0.2793,0.5074,0.2014,0.2048,0,0
8.2333,0.2629,0.4861,0.1854,0.1810,0,0
8.2500,0.2534,0.4836,0.1918,0.1808,0,0
8.2667,0.2362,0.4908,0.2144,0.1984,0,0
8.3500,0.3481,0.5229,0.1770,0.1784,0,0
8.3667,0.3664,0.5348,0.1837,0.1917,0,0
8.3833,0.3884,0.5438,0.1910,0.1978,0,0
8.4000,0.4132,0.5537,0.1995,0.2058,0,0
8.4167,0.4347,0.5614,0.2074,0.2132,0,0
8.4333,0.4507,0.5667,0.2147,0.2204,0,0
8.4500,0.4571,0.5681,0.2183,0.2233,0,0
8.4667,0.4611,0.5675,0.2198,0.2247,0,0
8.4833,0.4625,0.5693,0.2195,0.2249,0,0
8.5000,0.4606,0.5728,0.2189,0.2247,0,0
8.5167,0.4552,0.5729,0.2156,0.2216,0,0
8.5333,0.4466,0.5725,0.2126,0.2187,0,0
8.5500,0.4403,0.5783,0.2124,0.2187,0,0
8.5667,0.4360,0.5843,0.2155,0.2214,0,0
8.5833,0.4350,0.5934,0.2210,0.2264,0,0
8.6000,0.4356,0.5999,0.2270,0.2317,0,0
8.6167,0.4351,0.6054,0.2321,0.2363,0,0
8.6333,0.4366,0.6115,0.2360,0.2401,0,0
8.6500,0.4402,0.6184,0.2379,0.2418,0,0
8.6667,0.4459,0.6248,0.2387,0.2426,0,0
8.6833,0.4518,0.6257,0.2392,0.2432,0,0
8.7000,0.4567,0.6202,0.2395,0.2436,0,0
8.7167,0.4619,0.6168,0.2397,0.2438,0,0
8.7333,0.4644,0.6144,0.2405,0.2447,0,0
8.7500,0.4639,0.6171,0.2416,0.2457,0,0
8.7667,0.4610,0.6214,0.2422,0.2465,0,0
8.7833,0.4572,0.6239,0.2433,0.2475,0,0
8.8000,0.4503,0.6221,0.2442,0.2485,0,0
8.8167,0.4431,0.6212,0.2456,0.2498,0,0
8.8333,0.4350,0.6192,0.2474,0.2516,0,0
8.8500,0.4316,0.6175,0.2493,0.2535,0,0
8.8667,0.4329,0.6138,0.2507,0.2552,0,0
8.8833,0.4379,0.6058,0.2515,0.2562,0,0
8.9000,0.4458,0.5937,0.2520,0.2569,0,0
8.9167,0.4566,0.5766,0.2519,0.2569,0,0
8.9333,0.4663,0.5594,0.2519,0.2571,0,0
8.9500,0.4680,0.5354,0.2516,0.2566,0,0
8.9667,0.4490,0.5039,0.2505,0.2552,0,0
8.9833,0.4130,0.4737,0.2496,0.2543,0,0
9.0000,0.3774,0.4443,0.2495,0.2544,0,0
9.0167,0.3447,0.4198,0.2487,0.2545,0,0
9.0333,0.3208,0.4059,0.2471,0.2543,0,0
9.0667,0.3171,0.3815,0.2337,0.2430,0,0
9.1000,0.3250,0.3081,0.2113,0.2214,0,0
9.1167,0.2908,0.2715,0.1995,0.2084,0,0
