t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
6.8667,0.1685,0.1881,0.0310,0.0000,0,0
6.8833,0.1782,0.1796,0.0166,0.0000,0,0
6.9000,0.1824,0.1759,0.0005,0.0000,0,0
6.9167,0.1781,0.1727,0.0008,0.0001,0,0
6.9333,0.1731,0.1672,0.0008,0.0000,0,0
6.9500,0.1655,0.1613,0.0009,0.0010,0,0
6.9667,0.1535,0.1525,0.0017,0.0003,0,0
6.9833,0.1902,0.1492,0.0747,0.0477,0,0
7.0000,0.2127,0.1551,0.1089,0.1162,0,0
7.0167,0.2280,0.1624,0.1311,0.1459,0,0
7.0333,0.2391,0.1694,0.1479,0.1620,0,0
7.0500,0.2505,0.1781,0.1621,0.1739,0,0
7.0667,0.2547,0.1826,0.1684,0.1791,0,0
7.0833,0.2542,0.1819,0.1696,0.1794,0,0
7.1000,0.2525,0.1836,0.1683,0.1782,0,0
7.1167,0.2548,0.1861,0.1695,0.1785,0,0
7.1333,0.2546,0.1902,0.1670,0.1768,0,0
7.1500,0.2481,0.1904,0.1601,0.1707,0,0
7.1667,0.2367,0.1863,0.1485,0.1598,0,0
7.1833,0.2292,0.1829,0.1405,0.1511,0,0
7.2000,0.2345,0.1869,0.1447,0.1531,0,0
7.2167,0.2434,0.1960,0.1515,0.1605,0,0
7.2333,0.2550,0.2100,0.1611,0.1724,0,0
7.2833,0.1929,0.2014,0.1374,0.1806,0,0
7.3000,0.1664,0.1877,0.1347,0.1724,0,0
7.3167,0.1374,0.1753,0.1305,0.1710,0,0
7.3333,0.1112,0.1615,0.1276,0.1698,0,0
7.3500,0.0931,0.1557,0.1278,0.1698,0,0
7.3667,0.0897,0.1642,0.1389,0.1781,0,0
7.3833,0.0984,0.1808,0.1538,0.1900,0,0
7.4000,0.1166,0.1983,0.1648,0.1993,0,0
7.4167,0.1436,0.2159,0.1770,0.2090,0,0
7.4333,0.1801,0.2271,0.1817,0.2120,0,0
7.4500,0.2198,0.2363,0.1833,0.2105,0,0
7.4667,0.2565,0.2460,0.1889,0.2108,0,0
7.4833,0.2856,0.2556,0.1955,0.2123,0,0
7.5000,0.3087,0.2634,0.2037,0.2153,0,0
7.5167,0.3278,0.2716,0.2122,0.2197,0,0
7.5333,0.3400,0.2765,0.2189,0.2234,0,0
7.5500,0.3475,0.2800,0.2237,0.2263,0,0
7.5667,0.3517,0.2832,0.2272,0.2290,0,0
7.5833,0.3515,0.2839,0.2289,0.2309,0,0
7.6000,0.3497,0.2843,0.2296,0.2321,0,0
7.6167,0.3458,0.2835,0.2290,0.2324,0,0
7.6333,0.3419,0.2835,0.2280,0.2326,0,0
7.6500,0.3393,0.2843,0.2277,0.2332,0,0
7.6667,0.3379,0.2864,0.2275,0.2338,0,0
7.6833,0.3378,0.2897,0.2278,0.2348,0,0
7.7000,0.3386,0.2931,0.2280,0.2357,0,0
7.7167,0.3423,0.2982,0.2285,0.2366,0,0
7.7333,0.3475,0.3045,0.2291,0.2376,0,0
7.7500,0.3544,0.3125,0.2301,0.2390,0,0
7.7667,0.3618,0.3209,0.2307,0.2399,0,0
7.7833,0.3680,0.3286,0.2305,0.2403,0,0
7.8000,0.3737,0.3353,0.2301,0.2404,0,0
7.8167,0.3783,0.3406,0.2298,0.2404,0,0
7.8333,0.3818,0.3447,0.2296,0.2404,0,0
7.8500,0.3852,0.3486,0.2304,0.2410,0,0
7.8667,0.3766,0.3415,0.2299,0.2407,0,0
7.8833,0.3645,0.3317,0.2281,0.2394,0,0
7.9000,0.3534,0.3219,0.2262,0.2376,0,0
7.9167,0.3443,0.3133,0.2259,0.2369,0,0
7.9333,0.3350,0.3036,0.2266,0.2367,0,0
7.9500,0.3243,0.2923,0.2268,0.2361,0,0
7.9667,0.3099,0.2776,0.2252,0.2340,0,0
7.9833,0.2792,0.2496,0.2169,0.2261,0,0
8.0000,0.2267,0.2030,0.1966,0.2077,0,0
8.0167,0.1608,0.1442,0.1660,0.1789,0,0
8.0333,0.1155,0.1064,0.1467,0.1595,0,0
8.0500,0.0814,0.0768,0.1292,0.1425,0,0
8.0667,0.0613,0.0608,0.1214,0.1339,0,0
8.0833,0.0466,0.0513,0.1164,0.1295,0,0
8.1000,0.0377,0.0513,0.1146,0.1288,0,0
8.1167,0.0239,0.0504,0.1049,0.1224,0,0
8.1333,0.0056,0.0439,0.0849,0.1063,0,0
8.1500,0.0000,0.0308,0.0570,0.0820,1,0
8.1667,0.0000,0.0232,0.0322,0.0635,1,0
8.1833,0.0000,0.0325,0.0448,0.0736,1,0
8.2000,0.0000,0.0506,0.0686,0.0977,1,0
8.2167,0.0000,0.0669,0.0892,0.1211,1,0
8.2333,0.0163,0.0777,0.1051,0.1370,0,0
8.2500,0.0299,0.0884,0.1163,0.1476,0,0
8.2667,0.0444,0.0901,0.1223,0.1518,0,0
8.2833,0.0497,0.0920,0.1255,0.1540,0,0
8.3000,0.0494,0.0985,0.1323,0.1602,0,0
8.3167,0.0465,0.1058,0.1367,0.1654,0,0
8.3333,0.0401,0.1125,0.1390,0.1687,0,0
8.3500,0.0331,0.1190,0.1410,0.1717,0,0
8.3667,0.0261,0.1245,0.1430,0.1742,0,0
8.3833,0.0212,0.1309,0.1473,0.1785,0,0
8.4000,0.0188,0.1357,0.1518,0.1827,0,0
8.4167,0.0172,0.1403,0.1570,0.1875,0,0
8.4333,0.0160,0.1438,0.1609,0.1912,0,0
8.4500,0.0138,0.1448,0.1624,0.1928,0,0
8.4667,0.0096,0.1448,0.1629,0.1932,0,0
8.4833,0.0061,0.1436,0.1627,0.1932,0,0
8.5000,0.0041,0.1422,0.1625,0.1930,0,0
8.5167,0.0040,0.1420,0.1639,0.1939,0,0
8.5333,0.0050,0.1430,0.1656,0.1953,0,0
8.5500,0.0066,0.1427,0.1666,0.1959,0,0
8.5667,0.0068,0.1429,0.1672,0.1965,0,0
8.5833,0.0052,0.1426,0.1670,0.1963,0,0
8.6000,0.0028,0.1434,0.1675,0.1967,0,0
8.6167,0.0034,0.1429,0.1677,0.1968,0,0
8.6333,0.0034,0.1426,0.1672,0.1966,0,0
8.6500,0.0022,0.1431,0.1666,0.1961,0,0
8.6667,0.0000,0.1429,0.1638,0.1936,0,0
