t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
6.5167,0.0000,0.0000,0.1689,0.1697,1,1
6.5333,0.0000,0.0000,0.1689,0.1684,1,1
6.5500,0.0000,0.0000,0.1689,0.1681,1,1
6.5667,0.0000,0.0000,0.1689,0.1680,1,1
6.5833,0.0000,0.0000,0.1688,0.1680,1,1
6.6000,0.0000,0.0000,0.1686,0.1678,1,1
6.6167,0.0000,0.0000,0.1679,0.1674,1,1
6.7167,0.0493,0.0000,0.0981,0.0853,0,1
6.8167,0.4839,0.4710,0.2008,0.1776,0,0
6.8500,0.5912,0.6402,0.2061,0.1878,0,0
6.8667,0.5891,0.7055,0.1979,0.1809,0,0
6.8833,0.5980,0.7340,0.1884,0.1697,0,0
6.9000,0.6218,0.7438,0.1783,0.1565,0,0
6.9167,0.6574,0.7502,0.1654,0.1397,0,0
6.9333,0.6934,0.7507,0.1526,0.1193,0,0
6.9500,0.6537,0.7001,0.1421,0.0971,0,0
7.0000,0.4795,0.5206,0.1161,0.0766,0,0
7.0167,0.4375,0.4893,0.1119,0.0814,0,0
7.0333,0.4126,0.4640,0.1105,0.0850,0,0
7.0500,0.3915,0.4394,0.1098,0.0897,0,0
7.0667,0.3670,0.4093,0.1084,0.0962,0,0
7.0833,0.3375,0.3789,0.1061,0.1035,0,0
7.1000,0.3088,0.3585,0.1036,0.1093,0,0
7.1167,0.2840,0.3452,0.1007,0.1124,0,0
7.1333,0.2751,0.3399,0.1006,0.1150,0,0
7.1500,0.2894,0.3558,0.1010,0.1132,0,0
7.1667,0.3118,0.3862,0.1009,0.1090,0,0
7.2667,0.6653,0.5196,0.1237,0.1037,0,0
7.2833,0.6167,0.5640,0.1320,0.1107,0,0
7.3833,0.3900,0.4052,0.2037,0.2102,0,0
7.4167,0.2876,0.2844,0.1720,0.1717,0,0
7.4333,0.2248,0.2196,0.1504,0.1487,0,0
7.4500,0.1843,0.1792,0.1356,0.1338,0,0
7.5500,0.2428,0.2489,0.2353,0.2401,0,0
7.5667,0.1723,0.1725,0.2217,0.2222,0,0
7.5833,0.1203,0.1193,0.2078,0.2077,0,0
7.6000,0.0957,0.0941,0.2002,0.1999,0,0
7.6167,0.0844,0.0814,0.1961,0.1954,0,0
7.6333,0.0661,0.0626,0.1899,0.1892,0,0
7.6500,0.0295,0.0246,0.1779,0.1768,0,0
7.6667,0.0151,0.0090,0.1732,0.1717,0,0
7.6833,0.0033,0.0000,0.1693,0.1685,0,1
7.7167,0.0000,0.0000,0.1678,0.1678,1,1
7.7333,0.0000,0.0000,0.1676,0.1675,1,1
7.7500,0.0000,0.0000,0.1675,0.1674,1,1
7.7667,0.0000,0.0003,0.1673,0.1673,1,0
7.7833,0.0159,0.0149,0.1711,0.1708,0,0
7.8000,0.0374,0.0332,0.1756,0.1746,0,0
7.8167,0.0680,0.0608,0.1822,0.1806,0,0
7.9167,0.0000,0.0000,0.0655,0.0690,1,1
8.0167,0.4252,0.4211,0.2181,0.1989,0,0
8.0333,0.4987,0.5155,0.2195,0.1975,0,0
8.0667,0.5820,0.6392,0.1944,0.1702,0,0
8.0833,0.5511,0.6551,0.1753,0.1501,0,0
8.1000,0.5250,0.6655,0.1580,0.1327,0,0
8.1167,0.5073,0.6635,0.1423,0.1176,0,0
8.1333,0.4915,0.6517,0.1288,0.1057,0,0
8.1500,0.4611,0.6307,0.1167,0.0975,0,0
8.1667,0.4266,0.6050,0.1060,0.0929,0,0
8.1833,0.3930,0.5742,0.0974,0.0917,0,0
8.2000,0.3695,0.5509,0.0933,0.0931,0,0
8.2167,0.3569,0.5403,0.0913,0.0939,0,0
8.2333,0.3450,0.5325,0.0891,0.0941,0,0
8.2500,0.3316,0.5230,0.0856,0.0933,0,0
8.2667,0.3111,0.5094,0.0794,0.0911,0,0
8.2833,0.2989,0.5023,0.0755,0.0891,0,0
8.3000,0.2815,0.4982,0.0704,0.0854,0,0
8.3167,0.2851,0.5074,0.0699,0.0833,0,0
8.3333,0.2998,0.5230,0.0736,0.0841,0,0
8.4333,0.6504,0.6645,0.1750,0.1484,0,0
8.5167,0.5263,0.5404,0.2338,0.2404,0,0
8.5333,0.4935,0.4805,0.2336,0.2362,0,0
8.5833,0.2699,0.2492,0.1690,0.1612,0,0
8.6833,0.2399,0.2505,0.2441,0.2447,0,0
8.7000,0.1847,0.1875,0.2288,0.2289,0,0
8.7167,0.1344,0.1305,0.2129,0.2120,0,0
8.7333,0.0960,0.0864,0.2006,0.1985,0,0
8.7500,0.0799,0.0647,0.1953,0.1920,0,0
8.7667,0.0662,0.0485,0.1907,0.1867,0,0
