t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
6.4333,0.3466,0.4002,0.2419,0.2478,0,0
6.4667,0.3486,0.4047,0.2451,0.2513,0,0
6.5000,0.3522,0.4111,0.2494,0.2559,0,0
6.5333,0.3496,0.4121,0.2499,0.2567,0,0
6.5667,0.3504,0.4165,0.2517,0.2588,0,0
6.6000,0.3510,0.4189,0.2516,0.2589,0,0
6.6333,0.3471,0.4197,0.2505,0.2583,0,0
6.6667,0.3429,0.4203,0.2492,0.2574,0,0
6.7000,0.3421,0.4221,0.2487,0.2573,0,0
6.7333,0.3415,0.4234,0.2483,0.2570,0,0
6.7667,0.3404,0.4240,0.2483,0.2571,0,0
6.8000,0.3392,0.4251,0.2462,0.2553,0,0
6.8333,0.3378,0.4264,0.2456,0.2550,0,0
6.8667,0.3376,0.4279,0.2452,0.2548,0,0
6.9000,0.3383,0.4298,0.2452,0.2548,0,0
6.9333,0.3384,0.4310,0.2451,0.2548,0,0
6.9667,0.3374,0.4320,0.2444,0.2542,0,0
7.0000,0.3350,0.4313,0.2425,0.2525,0,0
7.0333,0.3334,0.4310,0.2410,0.2512,0,0
7.0667,0.3350,0.4339,0.2404,0.2508,0,0
7.1000,0.3396,0.4377,0.2412,0.2514,0,0
7.1333,0.3398,0.4384,0.2411,0.2514,0,0
7.1667,0.3395,0.4387,0.2410,0.2513,0,0
7.2000,0.3388,0.4386,0.2406,0.2510,0,0
7.2333,0.3379,0.4385,0.2394,0.2499,0,0
7.2667,0.3375,0.4385,0.2381,0.2487,0,0
7.3000,0.3361,0.4379,0.2373,0.2480,0,0
7.3333,0.3349,0.4379,0.2363,0.2471,0,0
7.3667,0.3333,0.4377,0.2354,0.2464,0,0
7.4000,0.3315,0.4371,0.2345,0.2456,0,0
7.4333,0.3305,0.4363,0.2338,0.2449,0,0
7.4667,0.3300,0.4361,0.2329,0.2441,0,0
7.5000,0.3299,0.4373,0.2311,0.2424,0,0
7.5333,0.3301,0.4391,0.2289,0.2403,0,0
7.5667,0.3320,0.4414,0.2273,0.2389,0,0
7.6000,0.3328,0.4423,0.2259,0.2375,0,0
7.6333,0.3334,0.4431,0.2251,0.2366,0,0
7.6667,0.3335,0.4430,0.2248,0.2364,0,0
7.7000,0.3336,0.4430,0.2247,0.2363,0,0
7.7333,0.3333,0.4425,0.2247,0.2362,0,0
7.7667,0.3328,0.4421,0.2244,0.2360,0,0
7.8000,0.3322,0.4415,0.2242,0.2357,0,0
7.8333,0.3318,0.4411,0.2238,0.2354,0,0
7.8667,0.3313,0.4404,0.2233,0.2350,0,0
7.9000,0.3311,0.4396,0.2230,0.2346,0,0
7.9333,0.3310,0.4391,0.2228,0.2344,0,0
7.9667,0.3316,0.4389,0.2228,0.2343,0,0
8.0000,0.3319,0.4387,0.2230,0.2344,0,0
8.0333,0.3318,0.4383,0.2232,0.2346,0,0
8.0667,0.3314,0.4377,0.2231,0.2346,0,0
8.1000,0.3306,0.4370,0.2231,0.2346,0,0
8.1333,0.3306,0.4367,0.2234,0.2348,0,0
8.1667,0.3304,0.4362,0.2233,0.2348,0,0
