condition,block_width_cm,whole_mean_cm,whole_min_cm,whole_max_cm,whole_range_cm,manip_mean_cm,manip_sd_cm,manip_range_cm,manip_mean_over_block
robot_native,23.8,34.92,29.37,62.16,32.79,31.42,3.64,21.42,1.32
human_mimic,23.8,52.28,27.50,80.06,52.56,51.75,9.99,52.49,2.17
