capture       ext%  fid_v%  task_v%  tdef_v%  fid_marg  task_marg  tdef_marg  tdef_mm
RS_d1_1       88.9     0.0      0.0      0.0     0.335      0.393      0.404      0.1
RS_d1_2       88.9     0.0      0.0      0.0     0.358      0.402      0.414      0.1
RS_d1_3       90.5     0.0      0.0      0.0     0.429      0.427      0.456      0.1
RS_d1_4       92.5     0.0      0.0      0.0     0.323      0.376      0.427      0.1
RS_d1_5       93.3     0.0      0.0      0.0     0.336      0.384      0.434      0.1
RS_d2_1       95.7     0.0      0.0      0.0     0.359      0.363      0.455      0.1
RS_d2_2       95.4     0.0      0.0      0.0     0.346      0.338      0.433      0.1
RS_d2_3       95.6     1.8     50.9     50.9     0.366      0.162      0.206    263.0
RS_d2_4       96.1     0.0      0.0      0.0     0.293      0.339      0.439      0.1
RS_d2_5       90.8     0.0      0.0      0.0     0.340      0.393      0.425      0.1
RS_d3_1       95.3     0.0      0.0      0.0     0.351      0.320      0.415      0.1
RS_d3_2       94.1     0.0      0.0      0.0     0.366      0.363      0.437      0.1
RS_d3_3       95.5     0.0      0.0      0.0     0.344      0.363      0.454      0.1
RS_d3_4       89.4     0.0      0.0      0.0     0.408      0.414      0.432      0.1
RS_d3_5       94.7     0.0      0.0      0.0     0.368      0.357      0.442      0.1
RS_d4_1       94.5     0.0      0.0      0.0     0.353      0.374      0.441      0.1
RS_d4_2       89.9     0.0      0.0      0.0     0.405      0.414      0.439      0.1
RS_d4_3       88.4     0.0      0.0      0.0     0.363      0.418      0.424      0.1
RS_d4_4       89.3     0.0      0.0      0.0     0.351      0.417      0.431      0.1
RS_d4_5       93.1     0.0      0.0      0.0     0.367      0.384      0.441      0.1

BY TARGET DISTANCE   (reps violating out of n)
level    n  human_m   ext%   fidelity  taskcentric  taskdefined  fid_marg  tdef_marg
d1       5    0.507   90.8       0/5          0/5          0/5      0.356      0.427
d2       5    0.530   94.7       1/5          1/5          1/5      0.341      0.392
d3       5    0.525   93.8       0/5          0/5          0/5      0.367      0.436
d4       5    0.508   91.0       0/5          0/5          0/5      0.368      0.435

wrote results/reach_extent/v3_left.json
