t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
8.7600,-0.235960,-0.089316,0.000007,0.826204,0.000000,0.000000,0.000000,-0.235965,0.089315,-0.000007,0.826215,0.000000,0.000000,0.000000,0.000000
8.7800,-0.235962,-0.089317,0.000007,0.826159,0.000000,0.000000,0.000000,-0.235967,0.089317,-0.000007,0.826171,0.000000,0.000000,0.000000,0.000000
8.8000,-0.235967,-0.089321,0.000007,0.826074,0.000000,0.000000,0.000000,-0.235972,0.089320,-0.000007,0.826086,0.000000,0.000000,0.000000,0.000000
8.8200,-0.235974,-0.089326,0.000007,0.825935,0.000000,0.000000,0.000000,-0.235979,0.089325,-0.000007,0.825947,0.000000,0.000000,0.000000,0.000000
8.8400,-0.235985,-0.089334,0.000007,0.825731,0.000000,0.000000,0.000000,-0.235990,0.089333,-0.000007,0.825742,0.000000,0.000000,0.000000,0.000000
8.8600,-0.236001,-0.089345,0.000007,0.825449,0.000000,0.000000,0.000000,-0.236005,0.089344,-0.000007,0.825460,0.000000,0.000000,0.000000,0.000000
8.8800,-0.236020,-0.089359,0.000007,0.825079,0.000000,0.000000,0.000000,-0.236025,0.089358,-0.000007,0.825090,0.000000,0.000000,0.000000,0.000000
8.9000,-0.236046,-0.089377,0.000007,0.824610,0.000000,0.000000,0.000000,-0.236050,0.089376,-0.000007,0.824621,0.000000,0.000000,0.000000,0.000000
8.9200,-0.236077,-0.089399,0.000007,0.824031,0.000000,0.000000,0.000000,-0.236081,0.089398,-0.000007,0.824042,0.000000,0.000000,0.000000,0.000000
8.9400,-0.236114,-0.089426,0.000008,0.823334,0.000000,0.000000,0.000000,-0.236119,0.089425,-0.000007,0.823345,0.000000,0.000000,0.000000,0.000000
8.9600,-0.236158,-0.089458,0.000008,0.822508,0.000000,0.000000,0.000000,-0.236163,0.089457,-0.000008,0.822519,0.000000,0.000000,0.000000,0.000000
8.9800,-0.236210,-0.089495,0.000008,0.821546,0.000000,0.000000,0.000000,-0.236215,0.089494,-0.000008,0.821557,0.000000,0.000000,0.000000,0.000000
9.0000,-0.236269,-0.089537,0.000008,0.820438,0.000000,0.000000,0.000000,-0.236274,0.089537,-0.000008,0.820449,0.000000,0.000000,0.000000,0.000000
9.0200,-0.236337,-0.089586,0.000008,0.819177,0.000000,0.000000,0.000000,-0.236342,0.089585,-0.000008,0.819188,0.000000,0.000000,0.000000,0.000000
9.0400,-0.236413,-0.089640,0.000008,0.817756,0.000000,0.000000,0.000000,-0.236418,0.089640,-0.000008,0.817767,0.000000,0.000000,0.000000,0.000000
9.0600,-0.236498,-0.089701,0.000009,0.816167,0.000000,0.000000,0.000000,-0.236503,0.089701,-0.000008,0.816178,0.000000,0.000000,0.000000,0.000000
9.0800,-0.236592,-0.089769,0.000009,0.814404,0.000000,0.000000,0.000000,-0.236597,0.089769,-0.000009,0.814415,0.000000,0.000000,0.000000,0.000000
9.1000,-0.236697,-0.089844,0.000009,0.812461,0.000000,0.000000,0.000000,-0.236701,0.089843,-0.000009,0.812472,0.000000,0.000000,0.000000,0.000000
9.1200,-0.236811,-0.089926,0.000009,0.810332,0.000000,0.000000,0.000000,-0.236816,0.089925,-0.000009,0.810343,0.000000,0.000000,0.000000,0.000000
9.1400,-0.236935,-0.090015,0.000010,0.808012,0.000000,0.000000,0.000000,-0.236940,0.090014,-0.000010,0.808023,0.000000,0.000000,0.000000,0.000000
9.1600,-0.237070,-0.090112,0.000010,0.805496,0.000000,0.000000,0.000000,-0.237075,0.090111,-0.000010,0.805507,0.000000,0.000000,0.000000,0.000000
9.1800,-0.237216,-0.090216,0.000010,0.802779,0.000000,0.000000,0.000000,-0.237220,0.090216,-0.000010,0.802790,0.000000,0.000000,0.000000,0.000000
9.2000,-0.237372,-0.090328,0.000011,0.799857,0.000000,0.000000,0.000000,-0.237377,0.090328,-0.000011,0.799868,0.000000,0.000000,0.000000,0.000000
9.2200,-0.237540,-0.090449,0.000011,0.796726,0.000000,0.000000,0.000000,-0.237545,0.090448,-0.000011,0.796737,0.000000,0.000000,0.000000,0.000000
9.2400,-0.237719,-0.090577,0.000012,0.793384,0.000000,0.000000,0.000000,-0.237724,0.090577,-0.000012,0.793395,0.000000,0.000000,0.000000,0.000000
9.2600,-0.237910,-0.090714,0.000012,0.789827,0.000000,0.000000,0.000000,-0.237914,0.090714,-0.000012,0.789838,0.000000,0.000000,0.000000,0.000000
9.2800,-0.238112,-0.090859,0.000013,0.786052,0.000000,0.000000,0.000000,-0.238117,0.090859,-0.000013,0.786063,0.000000,0.000000,0.000000,0.000000
9.3000,-0.238326,-0.091013,0.000013,0.782057,0.000000,0.000000,0.000000,-0.238331,0.091012,-0.000013,0.782068,0.000000,0.000000,0.000000,0.000000
9.3200,-0.238552,-0.091175,0.000014,0.777840,0.000000,0.000000,0.000000,-0.238557,0.091174,-0.000014,0.777851,0.000000,0.000000,0.000000,0.000000
9.3400,-0.238790,-0.091346,0.000015,0.773400,0.000000,0.000000,0.000000,-0.238795,0.091345,-0.000015,0.773411,0.000000,0.000000,0.000000,0.000000
9.3600,-0.239040,-0.091525,0.000015,0.768736,0.000000,0.000000,0.000000,-0.239045,0.091525,-0.000015,0.768746,0.000000,0.000000,0.000000,0.000000
9.3800,-0.239302,-0.091713,0.000016,0.763845,0.000000,0.000000,0.000000,-0.239307,0.091713,-0.000016,0.763856,0.000000,0.000000,0.000000,0.000000
9.4000,-0.239577,-0.091910,0.000017,0.758729,0.000000,0.000000,0.000000,-0.239581,0.091909,-0.000017,0.758739,0.000000,0.000000,0.000000,0.000000
9.4200,-0.239863,-0.092115,0.000017,0.753385,0.000000,0.000000,0.000000,-0.239867,0.092115,-0.000017,0.753396,0.000000,0.000000,0.000000,0.000000
9.4400,-0.240161,-0.092329,0.000018,0.747816,0.000000,0.000000,0.000000,-0.240166,0.092329,-0.000018,0.747826,0.000000,0.000000,0.000000,0.000000
9.4600,-0.240472,-0.092552,0.000019,0.742020,0.000000,0.000000,0.000000,-0.240477,0.092552,-0.000019,0.742030,0.000000,0.000000,0.000000,0.000000
9.4800,-0.240795,-0.092784,0.000020,0.735999,0.000000,0.000000,0.000000,-0.240799,0.092783,-0.000020,0.736009,0.000000,0.000000,0.000000,0.000000
9.5000,-0.241130,-0.093024,0.000021,0.729752,0.000000,0.000000,0.000000,-0.241134,0.093023,-0.000021,0.729763,0.000000,0.000000,0.000000,0.000000
9.5200,-0.241476,-0.093272,0.000022,0.723283,0.000000,0.000000,0.000000,-0.241481,0.093272,-0.000022,0.723293,0.000000,0.000000,0.000000,0.000000
9.5400,-0.241835,-0.093530,0.000023,0.716591,0.000000,0.000000,0.000000,-0.241839,0.093529,-0.000023,0.716601,0.000000,0.000000,0.000000,0.000000
9.5600,-0.242205,-0.093795,0.000024,0.709680,0.000000,0.000000,0.000000,-0.242210,0.093795,-0.000024,0.709690,0.000000,0.000000,0.000000,0.000000
9.5800,-0.242588,-0.094070,0.000025,0.702549,0.000000,0.000000,0.000000,-0.242592,0.094069,-0.000025,0.702559,0.000000,0.000000,0.000000,0.000000
9.6000,-0.242981,-0.094352,0.000026,0.695203,0.000000,0.000000,0.000000,-0.242986,0.094352,-0.000026,0.695213,0.000000,0.000000,0.000000,0.000000
9.6200,-0.243386,-0.094643,0.000027,0.687644,0.000000,0.000000,0.000000,-0.243391,0.094642,-0.000027,0.687653,0.000000,0.000000,0.000000,0.000000
9.6400,-0.243803,-0.094941,0.000028,0.679873,0.000000,0.000000,0.000000,-0.243807,0.094941,-0.000028,0.679883,0.000000,0.000000,0.000000,0.000000
9.6600,-0.244230,-0.095248,0.000029,0.671895,0.000000,0.000000,0.000000,-0.244235,0.095248,-0.000029,0.671905,0.000000,0.000000,0.000000,0.000000
9.6800,-0.244669,-0.095563,0.000030,0.663712,0.000000,0.000000,0.000000,-0.244673,0.095563,-0.000030,0.663722,0.000000,0.000000,0.000000,0.000000
9.7000,-0.245118,-0.095885,0.000031,0.655329,0.000000,0.000000,0.000000,-0.245122,0.095885,-0.000031,0.655338,0.000000,0.000000,0.000000,0.000000
9.7200,-0.245578,-0.096215,0.000032,0.646748,0.000000,0.000000,0.000000,-0.245582,0.096215,-0.000033,0.646757,0.000000,0.000000,0.000000,0.000000
9.7400,-0.246049,-0.096552,0.000034,0.637973,0.000000,0.000000,0.000000,-0.246053,0.096552,-0.000034,0.637982,0.000000,0.000000,0.000000,0.000000
9.7600,-0.246529,-0.096897,0.000035,0.629009,0.000000,0.000000,0.000000,-0.246533,0.096897,-0.000035,0.629018,0.000000,0.000000,0.000000,0.000000
9.7800,-0.247019,-0.097249,0.000036,0.619860,0.000000,0.000000,0.000000,-0.247023,0.097249,-0.000036,0.619869,0.000000,0.000000,0.000000,0.000000
9.8000,-0.247519,-0.097607,0.000037,0.610530,0.000000,0.000000,0.000000,-0.247523,0.097607,-0.000038,0.610539,0.000000,0.000000,0.000000,0.000000
9.8200,-0.248029,-0.097973,0.000039,0.601024,0.000000,0.000000,0.000000,-0.248033,0.097973,-0.000039,0.601033,0.000000,0.000000,0.000000,0.000000
9.8400,-0.248548,-0.098345,0.000040,0.591347,0.000000,0.000000,0.000000,-0.248551,0.098345,-0.000040,0.591355,0.000000,0.000000,0.000000,0.000000
9.8600,-0.249075,-0.098723,0.000042,0.581503,0.000000,0.000000,0.000000,-0.249079,0.098723,-0.000042,0.581512,0.000000,0.000000,0.000000,0.000000
9.8800,-0.249611,-0.099108,0.000043,0.571499,0.000000,0.000000,0.000000,-0.249615,0.099108,-0.000043,0.571508,0.000000,0.000000,0.000000,0.000000
9.9000,-0.250156,-0.099499,0.000044,0.561339,0.000000,0.000000,0.000000,-0.250159,0.099499,-0.000045,0.561348,0.000000,0.000000,0.000000,0.000000
9.9200,-0.250708,-0.099895,0.000046,0.551030,0.000000,0.000000,0.000000,-0.250712,0.099895,-0.000046,0.551038,0.000000,0.000000,0.000000,0.000000
9.9400,-0.251269,-0.100297,0.000047,0.540575,0.000000,0.000000,0.000000,-0.251272,0.100297,-0.000048,0.540583,0.000000,0.000000,0.000000,0.000000
9.9600,-0.251837,-0.100704,0.000049,0.529982,0.000000,0.000000,0.000000,-0.251840,0.100704,-0.000049,0.529990,0.000000,0.000000,0.000000,0.000000
9.9800,-0.252411,-0.101117,0.000050,0.519256,0.000000,0.000000,0.000000,-0.252415,0.101117,-0.000051,0.519264,0.000000,0.000000,0.000000,0.000000
10.0000,-0.252993,-0.101534,0.000052,0.508404,0.000000,0.000000,0.000000,-0.252996,0.101534,-0.000052,0.508411,0.000000,0.000000,0.000000,0.000000
10.0200,-0.253581,-0.101956,0.000053,0.497430,0.000000,0.000000,0.000000,-0.253584,0.101956,-0.000054,0.497438,0.000000,0.000000,0.000000,0.000000
10.0400,-0.254175,-0.102382,0.000055,0.486343,0.000000,0.000000,0.000000,-0.254179,0.102382,-0.000055,0.486351,0.000000,0.000000,0.000000,0.000000
10.0600,-0.254775,-0.102812,0.000057,0.475148,0.000000,0.000000,0.000000,-0.254779,0.102813,-0.000057,0.475155,0.000000,0.000000,0.000000,0.000000
10.0800,-0.255381,-0.103247,0.000058,0.463851,0.000000,0.000000,0.000000,-0.255384,0.103247,-0.000059,0.463858,0.000000,0.000000,0.000000,0.000000
10.1000,-0.255991,-0.103685,0.000060,0.452459,0.000000,0.000000,0.000000,-0.255995,0.103685,-0.000060,0.452466,0.000000,0.000000,0.000000,0.000000
10.1200,-0.256607,-0.104126,0.000061,0.440979,0.000000,0.000000,0.000000,-0.256610,0.104126,-0.000062,0.440987,0.000000,0.000000,0.000000,0.000000
10.1400,-0.257226,-0.104571,0.000063,0.429418,0.000000,0.000000,0.000000,-0.257229,0.104571,-0.000064,0.429425,0.000000,0.000000,0.000000,0.000000
10.1600,-0.257850,-0.105018,0.000065,0.417783,0.000000,0.000000,0.000000,-0.257853,0.105018,-0.000065,0.417789,0.000000,0.000000,0.000000,0.000000
10.1800,-0.258477,-0.105468,0.000066,0.406079,0.000000,0.000000,0.000000,-0.258480,0.105468,-0.000067,0.406086,0.000000,0.000000,0.000000,0.000000
10.2000,-0.259108,-0.105920,0.000068,0.394315,0.000000,0.000000,0.000000,-0.259111,0.105920,-0.000069,0.394322,0.000000,0.000000,0.000000,0.000000
10.2200,-0.259741,-0.106374,0.000070,0.382497,0.000000,0.000000,0.000000,-0.259744,0.106375,-0.000070,0.382504,0.000000,0.000000,0.000000,0.000000
10.2400,-0.260377,-0.106831,0.000071,0.370633,0.000000,0.000000,0.000000,-0.260380,0.106831,-0.000072,0.370639,0.000000,0.000000,0.000000,0.000000
10.2600,-0.261015,-0.107288,0.000073,0.358729,0.000000,0.000000,0.000000,-0.261018,0.107289,-0.000074,0.358735,0.000000,0.000000,0.000000,0.000000
10.2800,-0.261655,-0.107747,0.000075,0.346792,0.000000,0.000000,0.000000,-0.261657,0.107748,-0.000075,0.346798,0.000000,0.000000,0.000000,0.000000
10.3000,-0.262296,-0.108207,0.000076,0.334830,0.000000,0.000000,0.000000,-0.262298,0.108208,-0.000077,0.334836,0.000000,0.000000,0.000000,0.000000
10.3200,-0.262938,-0.108668,0.000078,0.322851,0.000000,0.000000,0.000000,-0.262941,0.108668,-0.000079,0.322856,0.000000,0.000000,0.000000,0.000000
10.3400,-0.263581,-0.109129,0.000080,0.310860,0.000000,0.000000,0.000000,-0.263583,0.109129,-0.000081,0.310866,0.000000,0.000000,0.000000,0.000000
10.3600,-0.264224,-0.109590,0.000081,0.298866,0.000000,0.000000,0.000000,-0.264226,0.109590,-0.000082,0.298871,0.000000,0.000000,0.000000,0.000000
10.3800,-0.264866,-0.110051,0.000083,0.286875,0.000000,0.000000,0.000000,-0.264868,0.110051,-0.000084,0.286881,0.000000,0.000000,0.000000,0.000000
10.4000,-0.265508,-0.110511,0.000085,0.274896,0.000000,0.000000,0.000000,-0.265510,0.110512,-0.000086,0.274901,0.000000,0.000000,0.000000,0.000000
10.4200,-0.266149,-0.110971,0.000086,0.262934,0.000000,0.000000,0.000000,-0.266152,0.110972,-0.000087,0.262939,0.000000,0.000000,0.000000,0.000000
10.4400,-0.266789,-0.111430,0.000088,0.250997,0.000000,0.000000,0.000000,-0.266791,0.111431,-0.000089,0.251003,0.000000,0.000000,0.000000,0.000000
10.4600,-0.267427,-0.111888,0.000090,0.239093,0.000000,0.000000,0.000000,-0.267429,0.111889,-0.000091,0.239098,0.000000,0.000000,0.000000,0.000000
10.4800,-0.268063,-0.112344,0.000091,0.227229,0.000000,0.000000,0.000000,-0.268065,0.112345,-0.000092,0.227234,0.000000,0.000000,0.000000,0.000000
10.5000,-0.268696,-0.112798,0.000093,0.215411,0.000000,0.000000,0.000000,-0.268698,0.112799,-0.000094,0.215416,0.000000,0.000000,0.000000,0.000000
10.5200,-0.269327,-0.113251,0.000095,0.203647,0.000000,0.000000,0.000000,-0.269329,0.113251,-0.000096,0.203651,0.000000,0.000000,0.000000,0.000000
10.5400,-0.269954,-0.113701,0.000096,0.191943,0.000000,0.000000,0.000000,-0.269956,0.113701,-0.000098,0.191948,0.000000,0.000000,0.000000,0.000000
10.5600,-0.270578,-0.114148,0.000098,0.180308,0.000000,0.000000,0.000000,-0.270580,0.114149,-0.000099,0.180312,0.000000,0.000000,0.000000,0.000000
10.5800,-0.271197,-0.114592,0.000100,0.168747,0.000000,0.000000,0.000000,-0.271199,0.114593,-0.000101,0.168751,0.000000,0.000000,0.000000,0.000000
10.6000,-0.271813,-0.115034,0.000101,0.157267,0.000000,0.000000,0.000000,-0.271814,0.115035,-0.000102,0.157271,0.000000,0.000000,0.000000,0.000000
10.6200,-0.272423,-0.115472,0.000103,0.145875,0.000000,0.000000,0.000000,-0.272425,0.115473,-0.000104,0.145879,0.000000,0.000000,0.000000,0.000000
10.6400,-0.273029,-0.115906,0.000104,0.134578,0.000000,0.000000,0.000000,-0.273030,0.115907,-0.000106,0.134582,0.000000,0.000000,0.000000,0.000000
10.6600,-0.273629,-0.116336,0.000106,0.123383,0.000000,0.000000,0.000000,-0.273630,0.116337,-0.000107,0.123387,0.000000,0.000000,0.000000,0.000000
10.6800,-0.274223,-0.116763,0.000108,0.112296,0.000000,0.000000,0.000000,-0.274224,0.116764,-0.000109,0.112299,0.000000,0.000000,0.000000,0.000000
10.7000,-0.274811,-0.117185,0.000109,0.101322,0.000000,0.000000,0.000000,-0.274813,0.117186,-0.000110,0.101326,0.000000,0.000000,0.000000,0.000000
10.7200,-0.275393,-0.117602,0.000111,0.090470,0.000000,0.000000,0.000000,-0.275394,0.117603,-0.000112,0.090473,0.000000,0.000000,0.000000,0.000000
10.7400,-0.275968,-0.118014,0.000112,0.079744,0.000000,0.000000,0.000000,-0.275969,0.118015,-0.000114,0.079747,0.000000,0.000000,0.000000,0.000000
10.7600,-0.276535,-0.118422,0.000114,0.069151,0.000000,0.000000,0.000000,-0.276537,0.118423,-0.000115,0.069154,0.000000,0.000000,0.000000,0.000000
10.7800,-0.277096,-0.118823,0.000115,0.058696,0.000000,0.000000,0.000000,-0.277097,0.118825,-0.000117,0.058699,0.000000,0.000000,0.000000,0.000000
10.8000,-0.277648,-0.119220,0.000117,0.048387,0.000000,0.000000,0.000000,-0.277649,0.119221,-0.000118,0.048389,0.000000,0.000000,0.000000,0.000000
10.8200,-0.278193,-0.119610,0.000118,0.038227,0.000000,0.000000,0.000000,-0.278194,0.119612,-0.000119,0.038229,0.000000,0.000000,0.000000,0.000000
10.8400,-0.278729,-0.119995,0.000119,0.028223,0.000000,0.000000,0.000000,-0.278730,0.119996,-0.000121,0.028225,0.000000,0.000000,0.000000,0.000000
10.8600,-0.279257,-0.120373,0.000121,0.018379,0.000000,0.000000,0.000000,-0.279258,0.120375,-0.000122,0.018382,0.000000,0.000000,0.000000,0.000000
10.8800,-0.279775,-0.120746,0.000122,0.008702,0.000000,0.000000,0.000000,-0.279776,0.120747,-0.000124,0.008705,0.000000,0.000000,0.000000,0.000000
10.9000,-0.280285,-0.121111,0.000124,-0.000804,0.000000,0.000000,0.000000,-0.280286,0.121112,-0.000125,-0.000801,0.000000,0.000000,0.000000,0.000000
10.9200,-0.280785,-0.121470,0.000125,-0.010134,0.000000,0.000000,0.000000,-0.280786,0.121471,-0.000126,-0.010131,0.000000,0.000000,0.000000,0.000000
10.9400,-0.281275,-0.121821,0.000126,-0.019283,0.000000,0.000000,0.000000,-0.281276,0.121823,-0.000128,-0.019281,0.000000,0.000000,0.000000,0.000000
10.9600,-0.281756,-0.122166,0.000127,-0.028247,0.000000,0.000000,0.000000,-0.281756,0.122167,-0.000129,-0.028245,0.000000,0.000000,0.000000,0.000000
10.9800,-0.282226,-0.122503,0.000129,-0.037022,0.000000,0.000000,0.000000,-0.282227,0.122505,-0.000130,-0.037020,0.000000,0.000000,0.000000,0.000000
