t_s,q_pitch,q_roll,q_yaw,q_elbow
8.8000,0.268994,-0.799716,0.696715,0.733407
8.8167,0.272845,-0.754878,0.657081,0.973682
8.8333,0.194281,-0.651402,0.118993,1.503903
8.8500,0.231842,-0.646240,-0.067855,1.505232
8.8667,0.280192,-0.633747,-0.123292,1.505323
8.8833,0.240633,-0.584775,-0.135140,1.504632
8.9000,0.212936,-0.574364,-0.138314,1.504615
8.9167,0.191689,-0.554093,-0.138618,1.504607
8.9333,0.216117,-0.546449,-0.140199,1.504722
8.9500,0.222859,-0.531465,-0.139645,1.504638
8.9667,0.305045,-0.481014,-0.032471,1.212616
8.9833,0.390484,-0.450324,0.040899,0.977361
9.0000,0.431480,-0.440329,0.110644,0.748241
9.0167,0.456549,-0.446848,0.167931,0.617568
9.0333,0.445447,-0.457345,0.208390,0.558594
9.0500,0.431038,-0.456328,0.235049,0.545814
9.0667,0.411175,-0.506398,0.259699,0.627613
9.0833,0.399985,-0.540777,0.286877,0.721136
9.1000,0.350770,-0.571554,0.307721,0.851145
9.1167,0.315353,-0.605696,0.315960,0.917836
9.1333,0.295492,-0.624722,0.319856,0.995952
9.1500,0.307082,-0.626735,0.334019,0.911987
9.1667,0.327714,-0.624403,0.365633,0.702773
9.1833,0.316292,-0.624797,0.388307,0.654160
9.2000,0.307413,-0.607576,0.421404,0.572280
9.2167,0.297675,-0.606044,0.445892,0.535660
9.2333,0.279283,-0.595718,0.456583,0.527633
9.2500,0.288414,-0.596164,0.473479,0.522856
9.2667,0.332034,-0.647673,0.484779,0.569352
9.2833,0.291961,-0.676478,0.488131,0.493430
9.3000,0.237950,-0.681016,0.488543,0.448072
9.3167,0.233060,-0.703996,0.496965,0.414156
9.3333,0.179101,-0.687207,0.509342,0.414844
9.3500,0.143437,-0.664722,0.527476,0.411914
9.3667,0.124142,-0.649942,0.541612,0.405436
9.3833,0.082380,-0.636235,0.553640,0.410591
9.4000,0.053651,-0.631294,0.560576,0.403310
9.4167,0.003503,-0.598809,0.579931,0.422405
9.4333,-0.003363,-0.602202,0.591646,0.404296
9.4500,-0.012154,-0.598344,0.601734,0.391085
9.4667,-0.032047,-0.578665,0.611202,0.377721
9.4833,-0.018890,-0.583910,0.628216,0.351612
9.5000,-0.012774,-0.597279,0.635974,0.349466
9.5167,-0.041811,-0.578906,0.648566,0.361523
9.5333,-0.054810,-0.578711,0.651449,0.358390
9.5500,-0.042185,-0.598425,0.660933,0.321673
9.5667,-0.027235,-0.663827,0.656890,0.254385
9.5833,-0.036767,-0.716120,0.642270,0.241387
9.6000,-0.027002,-0.766932,0.636283,0.189847
9.6167,-0.015497,-0.824802,0.627361,0.121458
9.6333,-0.090224,-0.800621,0.620021,0.086811
9.6500,-0.101682,-0.816690,0.620924,0.043525
9.6667,-0.203483,-0.789948,0.608236,0.039373
9.6833,-0.124004,-0.856716,0.618002,-0.049281
9.7000,-0.054880,-0.920723,0.626268,-0.108439
9.7167,-0.065843,-0.902136,0.635694,-0.126559
9.7333,-0.133143,-0.836345,0.650660,-0.104536
9.7500,-0.204474,-0.753752,0.673066,-0.068316
9.7667,-0.287848,-0.661941,0.698716,-0.002237
9.7833,-0.315110,-0.627822,0.713014,0.004616
9.8000,-0.293672,-0.692314,0.704863,-0.054853
9.8167,-0.276080,-0.745034,0.698824,-0.085087
9.8333,-0.231425,-0.814996,0.694622,-0.133705
9.8500,-0.214725,-0.845943,0.693528,-0.140898
9.8667,-0.213877,-0.839637,0.700201,-0.150698
9.8833,-0.161202,-0.880335,0.711932,-0.207898
9.9000,-0.076338,-0.969278,0.717039,-0.267125
9.9167,-0.032534,-1.018907,0.719994,-0.269091
9.9333,0.011451,-1.075729,0.720085,-0.280379
9.9500,0.067596,-1.163091,0.714347,-0.266624
9.9667,0.094811,-1.202272,0.713715,-0.247495
9.9833,0.075463,-1.193054,0.706936,-0.214944
10.0000,0.032022,-1.168011,0.693685,-0.212111
10.0167,0.154873,-1.278997,0.712462,-0.185758
10.0333,0.292520,-1.343500,0.763316,-0.107500
10.0500,0.422540,-1.367864,0.829359,-0.018088
10.0667,0.548283,-1.341497,0.908409,0.075153
10.0833,0.636740,-1.290041,0.969836,0.146095
10.1000,0.634729,-1.307117,0.966298,0.197557
10.1167,0.709626,-1.299032,1.007352,0.228898
10.1333,0.761196,-1.293069,1.036616,0.193366
10.1500,0.758850,-1.310728,1.035866,0.106494
10.1667,0.616550,-1.364801,0.951884,0.056198
10.1833,0.315781,-1.299839,0.798193,0.000777
10.2000,0.102189,-1.160957,0.724744,0.005550
10.2167,-0.038063,-1.000496,0.713613,0.013565
10.2333,-0.095397,-0.895452,0.729117,0.057689
10.2500,-0.153690,-0.764665,0.757849,0.106174
10.2667,-0.119676,-0.791740,0.762242,0.160452
10.2833,-0.064635,-0.834752,0.766597,0.222469
10.3000,0.003674,-0.861783,0.780024,0.248437
10.3167,0.011236,-0.849902,0.780820,0.333299
10.5167,-0.046925,-0.753589,0.540106,1.229839
10.5333,-0.033898,-0.719283,0.127181,1.409955
10.5500,0.016404,-0.703421,0.093149,1.214625
10.5667,0.020459,-0.628036,0.140357,0.868463
10.5833,0.172138,-0.622786,0.190923,0.634427
10.6000,0.131887,-0.531395,0.262408,0.446301
10.6167,0.114377,-0.470038,0.339213,0.303822
10.6333,0.193361,-0.494551,0.397683,0.200840
10.6500,0.190299,-0.515151,0.419954,0.193215
10.6667,0.227050,-0.524173,0.468155,0.144162
10.6833,0.251108,-0.493885,0.532903,0.194253
10.7000,0.254365,-0.546612,0.556206,0.355775
10.7167,0.272346,-0.586469,0.574237,0.510465
10.7333,0.279490,-0.594118,0.592232,0.667639
10.7500,0.257765,-0.573040,0.596885,0.820159
10.7667,0.263720,-0.543792,0.611114,0.719748
10.7833,0.258403,-0.512754,0.620107,0.834931
10.8000,0.250508,-0.484140,0.616889,0.914021
10.8500,0.266895,-0.423694,0.642943,0.712082
10.8667,0.248468,-0.407154,0.664183,0.573166
10.8833,0.246163,-0.395048,0.696879,0.466450
10.9000,0.224812,-0.370080,0.715209,0.455360
10.9167,0.206634,-0.349555,0.727572,0.444171
10.9333,0.187958,-0.305906,0.759794,0.430527
10.9500,0.222754,-0.323027,0.795604,0.351484
10.9667,0.210839,-0.312851,0.818869,0.365395
10.9833,0.211731,-0.326627,0.836815,0.339476
11.0000,0.204838,-0.346984,0.843212,0.327004
11.0167,0.185560,-0.380107,0.843222,0.347165
11.0333,0.196785,-0.401795,0.851917,0.363539
11.0500,0.189109,-0.457222,0.845060,0.409796
11.0667,0.195768,-0.525247,0.833186,0.497723
11.0833,0.237956,-0.586703,0.826950,0.586892
11.1000,0.277885,-0.632436,0.809988,0.736627
11.1167,0.272519,-0.640222,0.744866,0.988053
11.1333,0.253543,-0.624261,0.621298,1.152834
11.1500,0.223731,-0.613517,0.475183,1.237642
11.1667,0.231157,-0.639191,0.412585,1.114258
11.1833,0.265615,-0.602705,0.441868,0.679054
11.2000,0.254915,-0.575573,0.475273,0.553235
11.2167,0.272946,-0.576417,0.511046,0.459186
11.2333,0.297214,-0.591438,0.538976,0.426216
11.2500,0.327050,-0.683749,0.535910,0.515978
11.2667,0.315763,-0.701478,0.541238,0.500687
11.2833,0.282559,-0.712873,0.536538,0.482407
11.3000,0.248521,-0.708404,0.540671,0.470115
11.3167,0.247493,-0.717320,0.555050,0.430693
11.3333,0.240071,-0.716859,0.564129,0.419078
11.3500,0.200914,-0.699078,0.571726,0.402635
11.3667,0.208518,-0.713596,0.587252,0.359660
11.3833,0.185987,-0.709912,0.598104,0.327285
11.4000,0.140949,-0.683392,0.607659,0.311254
11.4167,0.086081,-0.645527,0.623408,0.303359
11.4333,0.065495,-0.622091,0.634948,0.282242
11.4500,0.045567,-0.605943,0.644168,0.274194
11.4667,0.032408,-0.589565,0.655636,0.266760
11.4833,0.022593,-0.583581,0.663968,0.263915
11.5000,0.015669,-0.583767,0.670539,0.260374
11.5167,0.030623,-0.600331,0.681568,0.251920
11.5333,0.003733,-0.586166,0.694198,0.270400
11.5500,-0.020870,-0.579515,0.702883,0.291511
11.5667,-0.030944,-0.586507,0.709264,0.310447
11.5833,-0.039905,-0.595397,0.708623,0.313318
11.6000,-0.048114,-0.645292,0.692616,0.314866
11.6167,-0.004336,-0.757226,0.675335,0.249986
11.6333,0.020931,-0.829550,0.665501,0.190335
11.6500,-0.035554,-0.814180,0.657581,0.134277
11.6667,-0.085186,-0.826373,0.644668,0.021331
11.6833,-0.011046,-0.916845,0.643803,-0.085141
11.7000,-0.003127,-0.930875,0.651512,-0.137623
11.7167,-0.043006,-0.891633,0.660977,-0.186748
11.7333,0.011815,-0.945876,0.672247,-0.304262
11.7500,0.040988,-0.978321,0.683206,-0.354675
11.7667,0.091478,-1.034402,0.690475,-0.385525
11.7833,0.166316,-1.119507,0.697643,-0.392514
11.8000,0.109578,-1.071049,0.697701,-0.345333
