t_s,q_pitch,q_roll,q_yaw,q_elbow
6.5667,0.033530,-0.543128,0.075093,0.553976
6.5833,0.000751,-0.508839,0.125952,0.489061
6.6000,-0.045762,-0.512393,0.167920,0.505032
6.6167,-0.081880,-0.516814,0.197760,0.513825
6.6333,-0.024488,-0.582143,0.198401,0.520716
6.6500,0.057423,-0.647024,0.205705,0.544177
6.6667,0.075599,-0.693344,0.206897,0.545574
6.6833,0.090990,-0.705439,0.215009,0.549419
6.7000,0.071849,-0.706401,0.242997,0.617741
6.7167,0.053562,-0.715968,0.265289,0.681604
6.7333,0.077518,-0.746847,0.267313,0.689175
6.7500,0.172439,-0.791594,0.284767,0.642093
6.7667,0.267869,-0.804862,0.312454,0.588005
6.7833,0.394493,-0.823932,0.347193,0.509018
6.8000,0.216898,-0.786083,0.362447,0.437664
6.8167,0.265317,-0.801428,0.390625,0.341012
6.8333,0.338493,-0.820742,0.413041,0.348712
6.8500,0.466220,-0.820491,0.465613,0.384944
6.8667,0.487886,-0.784047,0.510674,0.477002
6.8833,0.434639,-0.747682,0.531189,0.617645
6.9000,0.370671,-0.735609,0.526650,0.814342
6.9167,0.332239,-0.753253,0.513993,0.837369
6.9333,0.328748,-0.768629,0.517867,0.644743
6.9500,0.370411,-0.771027,0.537315,0.570883
6.9667,0.374852,-0.745212,0.554033,0.737688
6.9833,0.345080,-0.676035,0.499194,1.125280
7.0000,0.252800,-0.634122,0.064561,1.504131
7.0167,0.263105,-0.647346,-0.081753,1.504616
7.0333,0.228164,-0.637364,-0.124275,1.504582
7.0500,0.208936,-0.587530,-0.134866,1.503623
7.0667,0.399375,-0.532836,-0.049711,0.996291
7.0833,0.422478,-0.506417,-0.001688,0.968857
7.1000,0.418764,-0.514438,0.040315,1.021029
7.1167,0.437172,-0.491124,0.101011,0.862115
7.1333,0.424833,-0.475331,0.138514,0.833483
7.1500,0.400088,-0.503144,0.174281,0.947469
7.1667,0.377006,-0.523666,0.199659,1.032984
7.1833,0.376056,-0.529400,0.212292,1.022215
7.2000,0.374905,-0.531723,0.225703,1.009492
7.2167,0.371828,-0.543145,0.238941,1.040537
7.2333,0.377477,-0.542544,0.259281,0.985028
7.2500,0.311216,-0.567288,0.252395,1.146692
7.2667,0.243905,-0.577024,0.199591,1.266449
