t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
7.6167,0.3016,0.4552,0.2049,0.1700,0,0
7.6333,0.3754,0.4725,0.1449,0.0881,0,0
7.6500,0.1357,0.4244,0.2825,0.2592,0,0
7.6833,0.0000,0.3362,0.2566,0.2540,1,0
7.7833,0.0000,0.3110,0.2492,0.2454,1,0
7.8000,0.0000,0.3481,0.2553,0.2466,1,0
7.8167,0.0000,0.3612,0.2629,0.2497,1,0
7.8333,0.0000,0.3729,0.2752,0.2594,1,0
7.8500,0.0000,0.3961,0.2590,0.2553,1,0
7.8667,0.0000,0.4259,0.2787,0.2689,1,0
7.8833,0.0819,0.4594,0.2831,0.2643,0,0
7.9000,0.1914,0.4896,0.2592,0.2326,0,0
7.9167,0.2393,0.5057,0.2403,0.2119,0,0
7.9333,0.2822,0.5155,0.2181,0.1931,0,0
7.9500,0.1042,0.5369,0.2237,0.2197,0,0
7.9667,0.0013,0.5657,0.1959,0.1981,0,0
7.9833,0.0000,0.5494,0.1885,0.2027,1,0
8.0000,0.0000,0.5530,0.1777,0.2272,1,0
8.0167,0.0000,0.5500,0.1781,0.2361,1,0
8.0333,0.0000,0.5532,0.1816,0.2425,1,0
8.0500,0.0000,0.5652,0.1823,0.2439,1,0
8.0667,0.0000,0.5678,0.1861,0.2482,1,0
8.0833,0.0000,0.5684,0.1916,0.2526,1,0
8.1000,0.0000,0.5662,0.2002,0.2561,1,0
8.1167,0.0000,0.5768,0.2029,0.2565,1,0
8.1333,0.0000,0.5851,0.2027,0.2565,1,0
8.1500,0.0000,0.5890,0.2090,0.2593,1,0
8.1667,0.0000,0.5997,0.2094,0.2597,1,0
8.1833,0.0000,0.6120,0.2024,0.2606,1,0
8.2000,0.0000,0.6115,0.1955,0.2611,1,0
8.2167,0.0000,0.6084,0.1890,0.2615,1,0
8.2333,0.0000,0.6103,0.1881,0.2619,1,0
8.2500,0.0000,0.6158,0.1884,0.2611,1,0
8.2667,0.0000,0.6084,0.1905,0.2608,1,0
8.2833,0.0000,0.6038,0.1922,0.2608,1,0
8.3000,0.0000,0.5924,0.1949,0.2623,1,0
8.3167,0.0000,0.5767,0.1995,0.2635,1,0
8.3333,0.0000,0.5649,0.2035,0.2623,1,0
8.3500,0.0000,0.5478,0.2066,0.2584,1,0
8.3667,0.0000,0.5262,0.2068,0.2534,1,0
8.3833,0.0000,0.5139,0.2014,0.2472,1,0
8.4000,0.0000,0.4860,0.1963,0.2435,1,0
8.4167,0.0000,0.4600,0.1920,0.2432,1,0
8.4333,0.0000,0.4164,0.1852,0.2349,1,0
8.4500,0.0000,0.3758,0.1778,0.2227,1,0
8.4667,0.0000,0.3255,0.1821,0.2014,1,0
8.4833,0.0000,0.2224,0.1800,0.1698,1,0
8.5000,0.0000,0.1571,0.1923,0.1480,1,0
8.5167,0.0000,0.0971,0.2037,0.1248,1,0
8.5333,0.0000,0.1001,0.2057,0.1285,1,0
8.5500,0.0000,0.1360,0.2126,0.1463,1,0
8.6000,0.0000,0.2766,0.2227,0.2070,1,0
8.6167,0.0000,0.2916,0.2237,0.2130,1,0
8.6500,0.0000,0.3222,0.2314,0.2227,1,0
8.6833,0.0000,0.2945,0.2355,0.2131,1,0
8.7000,0.0000,0.2939,0.2352,0.2134,1,0
8.7167,0.0000,0.2937,0.2338,0.2138,1,0
8.7833,0.0000,0.2690,0.2287,0.2057,1,0
8.8333,0.0000,0.2520,0.2234,0.1994,1,0
8.8833,0.0000,0.2611,0.2212,0.2023,1,0
8.9000,0.0000,0.2624,0.2219,0.2025,1,0
8.9167,0.0000,0.2458,0.2233,0.1965,1,0
8.9333,0.0000,0.2453,0.2246,0.1968,1,0
