t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
8.6167,0.3745,0.5763,0.2092,0.1924,0,0
8.6333,0.3412,0.5921,0.2344,0.2135,0,0
8.6500,0.3770,0.5841,0.2210,0.2009,0,0
8.6667,0.3337,0.5828,0.2425,0.2201,0,0
8.6833,0.2604,0.5673,0.2705,0.2468,0,0
8.7000,0.2164,0.5576,0.2804,0.2571,0,0
8.7167,0.1889,0.5435,0.2798,0.2630,0,0
8.7333,0.1280,0.5451,0.2886,0.2663,0,0
8.7500,0.1380,0.5502,0.2857,0.2682,0,0
8.7667,0.1876,0.5574,0.2800,0.2661,0,0
8.7833,0.2607,0.5583,0.2707,0.2549,0,0
8.8000,0.2355,0.5530,0.2325,0.2116,0,0
8.8167,0.1997,0.5514,0.1825,0.1571,0,0
8.8333,0.0000,0.5482,0.0048,0.0003,1,0
8.8500,0.0000,0.5454,0.0047,0.0005,1,0
8.8667,0.0000,0.5382,0.0049,0.0006,1,0
8.8833,0.0000,0.5118,0.0044,0.0000,1,0
8.9000,0.0000,0.5058,0.0040,0.0000,1,0
8.9167,0.0000,0.4948,0.0037,0.0000,1,0
8.9333,0.0000,0.4906,0.0038,0.0000,1,0
8.9500,0.0000,0.4825,0.0037,0.0000,1,0
8.9667,0.0933,0.4545,0.1315,0.0947,0,0
8.9833,0.1675,0.4367,0.1955,0.1619,0,0
9.0000,0.2134,0.4299,0.2445,0.2143,0,0
9.0167,0.2203,0.4324,0.2622,0.2363,0,0
9.0333,0.2160,0.4377,0.2687,0.2442,0,0
9.0500,0.2137,0.4372,0.2691,0.2462,0,0
9.0667,0.2277,0.4640,0.2612,0.2343,0,0
9.0833,0.2219,0.4826,0.2478,0.2180,0,0
9.1000,0.2144,0.4995,0.2261,0.1905,0,0
9.1167,0.2195,0.5181,0.2095,0.1735,0,0
9.1333,0.2048,0.5287,0.1893,0.1529,0,0
9.1500,0.2210,0.5296,0.2065,0.1742,0,0
9.1667,0.2617,0.5265,0.2466,0.2190,0,0
9.1833,0.2780,0.5277,0.2552,0.2277,0,0
9.2000,0.2373,0.5184,0.2664,0.2413,0,0
9.2167,0.2169,0.5176,0.2707,0.2466,0,0
9.2333,0.2039,0.5123,0.2722,0.2482,0,0
9.2500,0.1786,0.5126,0.2741,0.2492,0,0
9.2667,0.2649,0.5243,0.2494,0.2415,0,0
9.2833,0.4187,0.5412,0.2464,0.2491,0,0
9.3000,0.4703,0.5577,0.2500,0.2532,0,0
