t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
7.9333,0.4682,0.4791,0.2556,0.2554,0,0
7.9500,0.4504,0.4817,0.2567,0.2561,0,0
7.9667,0.4541,0.4848,0.2569,0.2564,0,0
7.9833,0.4499,0.4858,0.2576,0.2573,0,0
8.0000,0.4345,0.4878,0.2585,0.2579,0,0
8.0167,0.4256,0.4972,0.2585,0.2576,0,0
8.0333,0.4232,0.5091,0.2581,0.2568,0,0
8.0500,0.4201,0.5193,0.2580,0.2565,0,0
8.0667,0.4306,0.5158,0.2566,0.2551,0,0
8.0833,0.4498,0.5108,0.2552,0.2538,0,0
8.1000,0.4696,0.5198,0.2543,0.2539,0,0
8.1167,0.4852,0.5191,0.2533,0.2529,0,0
8.1333,0.4963,0.5137,0.2519,0.2515,0,0
8.1500,0.4894,0.5013,0.2502,0.2490,0,0
8.1667,0.4871,0.4996,0.2493,0.2478,0,0
8.1833,0.4701,0.5055,0.2510,0.2487,0,0
8.2000,0.4830,0.5063,0.2498,0.2479,0,0
8.2167,0.4705,0.5089,0.2503,0.2475,0,0
8.2333,0.4740,0.5138,0.2495,0.2466,0,0
8.2500,0.4565,0.5231,0.2513,0.2478,0,0
8.2667,0.4499,0.5311,0.2520,0.2485,0,0
8.2833,0.4649,0.5298,0.2503,0.2470,0,0
8.3000,0.4729,0.5321,0.2492,0.2464,0,0
8.3167,0.4540,0.5438,0.2517,0.2493,0,0
8.3333,0.4576,0.5512,0.2515,0.2495,0,0
8.3500,0.4444,0.5577,0.2533,0.2518,0,0
8.3667,0.4332,0.5596,0.2541,0.2522,0,0
8.3833,0.4417,0.5566,0.2534,0.2521,0,0
8.4000,0.4429,0.5635,0.2538,0.2535,0,0
8.4167,0.4469,0.5674,0.2539,0.2545,0,0
8.4333,0.4506,0.5668,0.2533,0.2536,0,0
8.4500,0.4504,0.5735,0.2533,0.2543,0,0
8.4667,0.4563,0.5774,0.2531,0.2550,0,0
8.4833,0.4593,0.5674,0.2528,0.2553,0,0
8.5000,0.4448,0.5611,0.2533,0.2570,0,0
8.5167,0.4345,0.5548,0.2534,0.2571,0,0
8.5333,0.4344,0.5521,0.2527,0.2558,0,0
8.5500,0.4379,0.5632,0.2527,0.2542,0,0
8.5667,0.4222,0.5838,0.2541,0.2552,0,0
8.5833,0.4258,0.5778,0.2530,0.2530,0,0
8.6000,0.4528,0.5684,0.2482,0.2489,0,0
8.6167,0.4573,0.5717,0.2475,0.2484,0,0
8.6333,0.4687,0.5563,0.2458,0.2477,0,0
8.6500,0.4292,0.5405,0.2499,0.2492,0,0
8.6667,0.4003,0.5377,0.2536,0.2502,0,0
8.6833,0.3948,0.5363,0.2550,0.2500,0,0
8.7000,0.3752,0.5540,0.2577,0.2509,0,0
